Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, ,Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
, , ,8.75,36.97344, ,8.75,38.9193, ,10,35.13471, ,10,35.13471, ,9.25,43.85345, ,10.75,58.85495, , , , ,9.5,70.74997, ,10.25,73.57408, ,9,99.09579, ,9.5,102.6207, ,9,96.88697, ,9.75,73.35445, ,11.25,10.99399, ,8.75,78.07683, ,9,46.41344, ,9.25,48.36032, ,11.25,96.23055, ,10,108.6519, , 
, , ,9,35.51634, ,9,37.61954, ,10.5,31.68145, ,10.5,31.68145, ,9.5,37.74273, ,11,57.52994, , , , ,9.75,64.25961, ,10.5,68.05437, ,9.25,99.3788, ,9.75,101.958, ,9.25,96.50278, ,10,71.39472, ,11.5,10.15807, ,9,76.97107, ,9.25,44.98163, ,9.5,45.10111, ,11.5,94.35547, ,10.25,110.7352, , 
, , ,9.25,33.87795, ,9.25,36.23899, ,10.75,29.65452, ,10.75,29.65452, ,9.75,32.68692, ,11.25,56.3433, , , , ,10,57.94453, ,10.75,66.33972, ,9.5,99.60229, ,10,100.6096, ,9.5,96.00881, ,10.75,55.68535, ,11.75,9.357345, ,9.25,76.27183, ,9.5,42.36042, ,9.75,42.67212, ,11.75,90.70081, ,10.5,112.1621, , 
, , ,9.5,31.80317, ,9.5,34.71913, ,11,27.33378, ,11,27.33378, ,10,28.6005, ,11.5,55.00083, , , , ,10.25,52.55635, ,11,62.28087, ,9.75,99.77642, ,10.25,98.36826, ,9.75,95.32302, ,11,51.38367, ,12,8.616101, ,9.5,75.36519, ,9.75,40.54445, ,10,40.3218, ,12,86.80867, ,10.75,113.8988, , 
, , ,9.75,29.74451, ,9.75,33.00873, ,12,17.91829, ,12,17.91829, ,10.25,25.35372, ,11.75,52.88945, , , , ,10.5,47.59651, ,11.25,58.68184, ,10,99.87303, ,10.5,97.87035, ,10,94.35888, ,11.25,47.24409, ,12.25,7.916921, ,9.75,74.17263, ,10,38.66709, ,10.25,37.68623, ,12.25,84.38319, ,11,114.4899, , 
, , ,10.25,22.61467, ,10,30.91098, ,12.25,16.77817, ,12.25,16.77817, ,10.5,23.32238, ,12,47.72281, , , , ,10.75,43.83412, ,11.5,54.28717, ,10.25,99.86058, ,10.75,97.26186, ,10.25,93.02843, ,11.5,44.08947, ,12.5,7.301432, ,10,72.5469, ,10.25,36.51418, ,10.5,35.34678, ,12.5,80.68573, ,11.25,113.9227, , 
, , ,10.5,21.88203, ,10.25,28.67193, ,12.5,15.60531, ,12.5,15.60531, ,10.75,22.53688, ,12.25,40.33335, , , , ,11,40.29057, ,11.75,50.00267, ,10.5,99.46164, ,11,96.34528, ,10.5,91.28464, ,11.75,41.08797, ,12.75,6.802272, ,10.25,70.17958, ,10.5,34.35043, ,10.75,33.30719, ,12.75,74.62659, ,11.5,114.4556, , 
, , ,10.75,21.14332, ,11,20.76011, ,12.75,14.40542, ,12.75,14.40542, ,11,21.89143, ,12.5,36.76758, , , , ,11.25,37.37327, ,12,45.03588, ,10.75,98.05859, ,11.25,95.13321, ,10.75,89.87347, ,12,37.97563, ,13,6.454579, ,10.5,63.62886, ,10.75,32.48321, ,11,31.55234, ,13,68.66442, ,11.75,113.8673, , 
, , ,11,20.45215, ,11.75,18.22751, ,13,13.17138, ,13,13.17138, ,11.25,21.25061, ,13,25.69519, , , , ,11.5,34.97442, ,13,31.78658, ,11,95.10205, ,11.5,93.52649, ,11,88.99764, ,12.25,35.36617, ,13.25,6.177796, ,10.75,60.65934, ,11,30.9429, ,11.25,30.15552, ,13.25,63.01463, ,12,111.2406, , 
, , ,11.25,19.66548, ,12,17.09896, ,13.25,11.89768, ,13.25,11.89768, ,11.5,20.52818, ,13.25,24.50766, , , , ,11.75,32.65992, ,13.25,29.5364, ,11.25,94.9129, ,11.75,91.38983, ,11.25,87.93045, ,12.5,32.88822, ,13.5,5.947852, ,11,57.57365, ,11.25,29.70647, ,11.5,29.0413, ,13.5,55.8669, ,12.25,108.9682, , 
, , ,11.5,18.68785, ,12.25,15.87003, ,13.5,10.60274, ,13.5,10.60274, ,11.75,19.95953, ,13.5,23.06836, , , , ,12,30.7155, ,13.5,27.64025, ,11.5,94.54471, ,12,88.63792, ,11.5,86.78289, ,12.75,30.8292, ,13.75,5.744369, ,11.75,40.46689, ,11.5,28.70645, ,11.75,28.09244, ,13.75,49.725, ,12.5,103.788, , 
, , ,13.5,6.054303, ,12.5,14.41388, ,13.75,9.344627, ,13.75,9.344627, ,12,19.45261, ,13.75,21.40004, , , , ,12.25,29.26899, ,13.75,25.74643, ,11.75,94.09113, ,12.25,86.5563, ,11.75,85.54098, ,13,29.00659, ,14,5.562533, ,12,37.76142, ,11.75,27.85105, ,12,27.21683, ,14,45.25903, ,12.75,97.63013, , 
, , ,13.75,5.146795, ,12.75,11.69722, ,14,7.995703, ,14,7.995703, ,12.25,18.96065, ,14,20.62853, , , , ,12.5,28.05195, ,14,24.30947, ,12,93.91351, ,12.5,85.30089, ,12,84.30114, ,13.25,27.15443, ,14.25,5.398095, ,12.25,33.68188, ,12,27.0501, ,12.25,26.33105, ,14.25,39.94819, ,13,88.45866, , 
, , ,14,4.880258, ,14.25,4.685654, ,14.25,4.813848, ,14.25,4.813848, ,12.5,18.42687, ,14.25,19.71777, , , , ,12.75,26.86533, ,14.25,23.08899, ,12.25,93.87256, ,12.75,83.63751, ,12.25,82.83804, ,13.5,25.68602, ,14.5,5.249863, ,12.5,28.87593, ,12.25,26.22683, ,12.5,25.28998, ,14.5,34.81742, ,13.25,79.30308, , 
, , ,14.25,4.673265, ,14.5,4.554142, ,14.5,4.591628, ,14.5,4.591628, ,12.75,17.811, ,14.5,15.37533, , , , ,13,25.66751, ,14.5,21.9279, ,12.5,93.72187, ,13,81.60146, ,12.5,81.02753, ,13.75,24.53636, ,14.75,5.1164, ,12.75,26.55288, ,12.5,25.23649, ,18,4.439986, ,14.75,30.87063, ,13.5,67.88406, , 
, , ,14.5,4.482671, ,14.75,4.364745, ,14.75,4.4521, ,14.75,4.4521, ,13,17.34542, ,14.75,14.76252, , , , ,13.25,24.73883, ,14.75,20.66742, ,12.75,93.02387, ,13.25,78.93079, ,12.75,78.52966, ,14,23.64096, ,15,4.995944, ,13,25.22037, ,12.75,21.46832, ,18.25,4.360393, ,15,27.76602, ,13.75,58.18251, , 
, , ,14.75,4.344705, ,15,4.232633, ,15,4.313501, ,15,4.313501, ,13.25,16.91862, ,15,14.2865, , , , ,13.75,23.35863, ,15,19.68995, ,13,91.49063, ,13.5,75.56918, ,13,76.33199, ,14.25,22.56977, ,15.25,4.891649, ,13.25,24.28613, ,13,19.31712, ,18.5,4.289727, ,15.25,24.92968, ,14,49.17689, , 
, , ,15,4.234967, ,15.25,4.129692, ,15.25,4.179811, ,15.25,4.179811, ,13.5,16.50648, ,15.25,13.94388, , , , ,14,22.86226, ,15.25,18.82221, ,13.25,88.91305, ,13.75,71.72744, ,13.25,74.60663, ,14.5,21.99873, ,15.5,4.802789, ,13.5,23.73303, ,13.25,17.30918, ,18.75,4.22719, ,15.5,22.45108, ,14.25,41.73633, , 
, , ,15.25,4.149065, ,15.5,4.053342, ,15.5,4.090184, ,15.5,4.090184, ,13.75,16.09601, ,15.5,13.76841, , , , ,14.25,22.04497, ,15.5,18.11242, ,13.5,86.09763, ,14,69.86003, ,13.5,72.68688, ,14.75,21.33726, ,15.75,4.721281, ,13.75,23.2972, ,17.75,4.538757, ,19,4.168745, ,15.75,21.02995, ,14.5,36.50407, , 
, , ,15.5,4.083938, ,15.75,3.994191, ,15.75,4.029672, ,15.75,4.029672, ,14,15.64283, ,15.75,13.5706, , , , ,15,20.57691, ,15.75,17.49312, ,13.75,84.29256, ,14.25,67.62864, ,13.75,70.86523, ,15,20.57931, ,16,4.644269, ,14,22.90636, ,18,4.447722, ,19.25,4.11502, ,16,19.24142, ,14.75,32.0398, , 
, , ,15.75,4.029021, ,16,3.948311, ,16,3.984245, ,16,3.984245, ,14.25,15.14817, ,16,13.29215, , , , ,15.25,20.13042, ,16,16.85623, ,14,82.05611, ,14.5,64.40159, ,14,68.86618, ,15.25,19.86702, ,16.25,4.570919, ,14.25,22.43959, ,18.25,4.367727, ,19.5,4.042937, ,16.25,17.79462, ,15,28.28073, , 
, , ,16,3.979865, ,16.25,3.912607, ,16.25,3.947007, ,16.25,3.947007, ,14.5,14.76716, ,16.25,12.87347, , , , ,16,18.33275, ,16.25,16.43663, ,14.25,79.47546, ,14.75,59.97398, ,14.25,66.78428, ,15.5,19.41357, ,16.5,4.500868, ,14.5,16.55801, ,18.5,4.296712, ,19.75,3.862721, ,16.5,16.44499, ,15.25,25.53531, , 
, , ,16.25,3.936315, ,16.5,3.885794, ,16.5,3.912055, ,16.5,3.912055, ,14.75,14.42352, ,16.5,9.14736, , , , ,16.25,17.96685, ,16.5,16.12049, ,14.5,76.2404, ,15,55.91135, ,14.5,64.74299, ,15.75,18.9004, ,16.75,4.433875, ,14.75,16.35537, ,18.75,4.233872, ,20,3.796157, ,16.75,15.50903, ,15.5,22.95103, , 
, , ,16.5,3.901699, ,16.75,3.865221, ,16.75,3.880788, ,16.75,3.880788, ,15,14.09382, ,16.75,9.088331, , , , ,16.5,17.59198, ,16.75,15.75102, ,14.75,71.90214, ,15.25,53.1527, ,14.75,62.20314, ,16,18.24704, ,17,4.369729, ,15,16.19692, ,19,4.175014, , , , ,17,14.60934, ,15.75,21.02767, , 
, , ,16.75,3.876339, ,17,3.846051, ,17,3.8542, ,17,3.8542, ,15.25,13.77082, ,17,9.016498, , , , ,16.75,17.15886, ,17,15.32649, ,15,66.41559, ,15.5,48.84372, ,15,59.34537, ,16.25,17.43487, ,17.25,4.308223, ,15.25,16.05662, ,19.25,4.12094, , , , ,17.25,13.76857, ,16,19.17549, , 
, , ,17,3.857447, ,17.25,3.824424, ,17.25,3.831794, ,17.25,3.831794, ,15.5,13.38564, ,17.25,8.911149, , , , ,17,16.48992, ,17.25,14.69439, ,15.25,61.90911, ,15.75,43.58348, ,15.25,56.5787, ,16.5,17.06841, ,17.5,4.249155, ,15.5,15.91239, ,19.5,4.046872, , , , ,17.75,12.39096, ,16.25,17.84118, , 
, , ,17.25,3.84279, ,17.5,3.801924, ,17.5,3.810796, ,17.5,3.810796, ,15.75,13.06147, ,17.5,8.799079, , , , ,17.25,15.59175, ,17.5,14.47774, ,15.5,58.33391, ,16,39.65419, ,15.5,54.34668, ,16.75,16.45046, ,17.75,4.192335, ,16,14.33846, ,19.75,3.866528, , , , ,18,11.71385, ,16.5,16.5682, , 
, , ,17.5,3.826881, ,17.75,3.78045, ,17.75,3.791133, ,17.75,3.791133, ,16,12.80034, ,17.75,8.78634, , , , ,17.5,15.2467, ,17.75,14.25843, ,15.75,54.7311, ,16.25,34.4539, ,15.75,52.19897, ,17,15.62754, ,18,4.137595, ,16.25,13.71939, ,20,3.79973, , , , ,18.25,11.16238, ,16.75,15.4412, , 
, , ,17.75,3.8004, ,18,3.728499, ,18,3.759481, ,18,3.759481, ,16.25,12.5675, ,18,8.711894, , , , ,17.75,15.00558, ,18,13.98009, ,16,50.94496, ,16.5,30.30195, ,16,49.77112, ,17.25,15.07087, ,18.25,4.084853, ,16.5,13.27829, , , , , , , ,18.5,10.68553, ,17,14.5484, , 
, , ,18,3.578072, ,18.25,3.51824, ,18.25,3.536796, ,18.25,3.536796, ,16.5,12.36622, ,18.25,8.544575, , , , ,18,14.64133, ,18.25,13.53747, ,16.25,46.91685, ,16.75,26.5583, ,16.25,47.32704, ,17.5,14.5363, ,18.5,4.03476, ,16.75,10.83695, , , , , , , ,18.75,10.18182, ,17.25,13.7298, , 
, , ,18.25,3.531975, ,18.5,3.472908, ,18.5,3.488394, ,18.5,3.488394, ,16.75,12.18843, ,18.5,8.55021, , , , ,18.25,14.241, ,18.5,13.29709, ,16.5,42.71098, ,17,23.17769, ,16.5,44.31624, ,17.75,13.974, ,18.75,3.986459, ,17,10.19892, , , , , , , ,19,9.735186, ,17.5,12.97954, , 
, , ,18.5,3.487726, ,18.75,3.428974, ,18.75,3.440689, ,18.75,3.440689, ,17,12.01773, ,18.75,8.548585, , , , ,18.5,13.89139, ,18.75,12.61541, ,16.75,38.29942, ,17.25,21.00419, ,16.75,40.80997, ,18,13.30306, ,19,3.939906, ,17.25,9.963041, , , , , , , ,19.25,9.460724, ,17.75,12.38607, , 
, , ,18.75,3.445023, ,19,3.385881, ,19,3.391777, ,19,3.391777, ,17.25,11.84703, ,19,9.200674, , , , ,18.75,13.53719, ,19,12.24203, ,17,34.47509, ,17.5,18.9382, ,17,38.34769, ,18.25,12.71346, ,19.25,3.89486, ,17.5,9.875621, , , , , , , ,19.5,9.243498, ,18,11.92538, , 
, , ,19,3.403551, ,19.25,3.342684, ,19.25,3.338689, ,19.25,3.338689, ,17.5,11.66064, ,19.25,9.205531, , , , ,19,13.04987, ,19.25,11.83407, ,17.25,31.94892, ,17.75,17.14832, ,17.25,36.17396, ,18.5,12.15103, ,19.5,3.851184, ,17.75,9.792037, , , , , , , ,19.75,9.082876, ,18.25,11.57737, , 
, , ,19.25,3.362976, ,19.5,3.297534, ,19.5,3.297134, ,19.5,3.297134, ,17.75,11.52249, ,19.5,9.208387, , , , ,19.25,12.5277, ,19.5,11.34378, ,17.5,29.44209, ,18,16.18322, ,17.5,33.87979, ,18.75,11.58394, ,19.75,3.80812, ,18,9.713503, , , , , , , ,20,8.89001, ,18.5,11.18925, , 
, , ,19.5,3.322788, ,19.75,3.257172, ,19.75,3.239661, ,19.75,3.239661, ,18,11.427, ,19.75,9.194808, , , , ,19.5,11.8969, ,19.75,10.92395, ,17.75,26.82313, ,18.25,15.31024, ,17.75,31.67658, ,19,11.11424, ,20,3.760585, ,18.25,9.63969, , , , , , , , , , ,18.75,10.77814, , 
, , ,19.75,3.282161, ,20,3.203637, ,20,3.208847, ,20,3.208847, ,18.25,11.36995, ,20,9.122282, , , , ,19.75,11.32485, ,20,10.52805, ,18,24.74476, ,18.5,14.25903, ,18,29.13064, ,19.25,10.67055, , , , ,18.5,9.5755, , , , , , , , , , ,19,10.56277, , 
, , ,20,3.242062, , , , , , , , , , ,18.5,11.35302, ,,,, , , ,20,11.07256, , , , ,18.25,22.28612, ,18.75,13.56074, ,18.25,26.54076, ,19.5,10.25593, , , , ,18.75,10.10293, , , , , , , , , , ,19.25,10.356, , 
, , , , , , , , , , , , , , ,18.75,11.37214, ,,,, , , , , , , , , ,18.5,20.70043, ,19,13.22424, ,18.5,25.00161, ,19.75,9.910227, , , , ,19.75,9.576691, , , , , , , , , , ,19.5,10.1306, , 
, , , , , , , , , , , , , , ,19,11.42715, ,,,, , , , , , , , , ,18.75,19.1692, ,19.25,12.75567, ,18.75,23.41872, ,20,9.59255, , , , ,20,9.450443, , , , , , , , , , ,19.75,9.887529, , 
, , , , , , , , , , , , , , ,19.25,11.46299, ,,,, , , , , , , , , ,19,17.92376, ,19.5,12.26818, ,19,21.67826, , , , , , , , , , , , , , , , , , , ,20,9.591571, , 
, , , , , , , , , , , , , , ,19.5,11.45647, ,,,, , , , , , , , , ,19.25,16.24931, ,19.75,11.88243, ,19.25,20.02785, , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , ,19.75,11.37809, ,,,, , , , , , , , , ,19.5,15.52814, ,20,11.53675, ,19.5,18.47046, , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , ,20,11.24889, ,,,, , , , , , , , , ,19.75,14.56826, , , , ,19.75,17.46373, , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , ,,,, , , , , , , , , ,20,13.46525, , , , ,20,16.00085, , , , , , , , , , , , , , , , , , , , , , , 
