Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, ,Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
-1.75,-1.221328, ,-2.25,-22.70626, ,-2.25,-27.12693, ,-1.75,-23.39776, ,-1.75,-23.39776, ,-2.25,38.49468, ,-2.25,21.22353, ,1.25,47.14415, ,-2.25,12.41507, ,-2.25,25.40191, ,-2.25,26.75011, ,-2,59.37983, ,-2.25,45.74969, ,-2.25,17.71384, ,-1.75,36.21276, ,-2.25,31.62416, ,-2,19.09112, ,-1.75,29.88579, ,-2.25,27.22556, ,-1.25,41.6931, , 
-1.5,1.529459, ,-2,-20.33194, ,-2,-25.1715, ,-1.5,-20.1827, ,-1.5,-20.1827, ,-2,40.68057, ,-2,22.89149, ,1.5,48.61858, ,-2,12.66886, ,-2,26.70769, ,-2,29.22312, ,-1.75,61.35393, ,-2,48.12733, ,-2,18.35157, ,-1.5,40.13009, ,-2,34.05939, ,-1.75,23.55987, ,-1.5,32.2086, ,-2,30.25218, ,-1,46.27437, , 
-1.25,4.351056, ,-1.75,-18.15175, ,-1.75,-22.96571, ,-1.25,-16.74485, ,-1.25,-16.74485, ,-1.75,45.90939, ,-1.25,34.35408, ,1.75,50.08101, ,-1.75,13.47409, ,-1.75,28.32775, ,-1.75,31.67702, ,-1.5,63.53669, ,-1.75,51.52271, ,-1.75,19.71182, ,-1.25,45.36228, ,-1.75,36.486, ,-1.5,26.19801, ,-1.25,35.30652, ,-1.75,33.6548, ,-0.75,49.95412, , 
-1,7.239132, ,-1.5,-16.52661, ,-1.5,-20.15575, ,-1,-13.566, ,-1,-13.566, ,-1.5,49.08667, ,0,47.73886, ,2,51.57893, ,-1.5,14.20113, ,-1.5,29.68706, ,-1.5,34.04352, ,-1.25,65.04456, ,-1.5,54.23578, ,-1.5,20.70779, ,-1,54.05055, ,-1.5,38.70115, ,-1.25,28.341, ,-1,36.0241, ,-1.5,37.52465, ,-0.5,52.94307, , 
-0.75,10.1825, ,-1.25,-15.3031, ,-1.25,-17.03241, ,-0.75,-10.13297, ,-0.75,-10.13297, ,-1.25,59.85581, ,0.25,50.58443, ,2.25,53.06353, ,-1,15.90043, ,-1.25,30.09453, ,-1.25,37.15048, ,-1,66.62439, ,-1.25,56.5173, ,-1.25,21.77931, ,-0.75,59.88958, ,-1.25,40.76419, ,-1,28.78307, ,-0.75,37.46479, ,-1.25,41.90259, ,-0.25,54.88049, , 
-0.5,13.17427, ,-1,-13.01627, ,-1,-13.76703, ,-0.5,-6.757864, ,-0.5,-6.757864, ,-1,65.4694, ,0.5,53.11291, ,2.5,54.80602, ,-0.75,16.92014, ,-1,30.15894, ,-1,39.71348, ,-0.75,68.81299, ,-1,59.23778, ,-1,24.54236, ,-0.25,70.9361, ,-1,42.68121, ,-0.75,29.41645, ,-0.5,38.39097, ,-1,44.40097, ,0,56.76953, , 
-0.25,16.21046, ,-0.75,-9.913324, ,-0.75,-10.30683, ,-0.25,-3.345677, ,-0.25,-3.345677, ,-0.75,71.16163, ,0.75,55.50746, ,2.75,57.43617, ,-0.5,18.01516, ,-0.75,30.26961, ,-0.75,42.01913, ,-0.5,71.19478, ,-0.75,61.4196, ,-0.75,27.0191, ,0,79.59573, ,-0.75,44.4568, ,-0.5,30.35286, ,-0.25,41.11549, ,-0.75,51.8279, ,0.25,62.13563, , 
0,19.11312, ,-0.5,-6.599994, ,-0.5,-6.875647, ,0,3.25E-06, ,0,3.25E-06, ,-0.5,75.91217, ,1,57.80142, ,3,65.04175, ,-0.25,19.76647, ,1,36.66244, ,-0.5,44.82995, ,-0.25,73.31151, ,-0.5,63.82007, ,0.5,37.1758, ,0.25,81.66949, ,-0.5,46.06247, ,-0.25,31.87414, ,0,43.89151, ,-0.5,54.71307, ,0.5,69.39052, , 
0.25,21.51603, ,-0.25,-3.30635, ,-0.25,-3.320605, ,0.25,3.345678, ,0.25,3.345678, ,-0.25,79.81022, ,1.25,59.96689, ,3.25,69.93071, ,0,21.75733, ,1.25,38.54373, ,-0.25,47.22122, ,0.25,77.44198, ,-0.25,65.61819, ,0.75,39.95736, ,0.5,84.0321, ,-0.25,48.25024, ,0,33.43369, ,0.25,46.69569, ,1.75,85.10019, ,0.75,71.28224, , 
0.5,25.37571, ,0,2.15E-08, ,0,6.97E-08, ,0.5,6.757871, ,0.5,6.757871, ,0,83.04698, ,1.5,61.91807, ,3.5,74.15989, ,0.75,25.72203, ,1.5,40.06832, ,0,49.46354, ,0.5,79.49017, ,0,66.7815, ,1,42.22832, ,0.75,86.37115, ,0,50.57059, ,0.25,35.0841, ,0.5,49.85991, ,2.25,88.76623, ,1,72.77661, , 
0.75,29.52457, ,0.25,3.306352, ,0.25,3.320607, ,0.75,10.13299, ,0.75,10.13299, ,0.25,85.80055, ,1.75,63.34483, ,3.75,76.65477, ,1,27.03364, ,1.75,42.98325, ,0.25,51.56236, ,0.75,81.47467, ,0.25,68.8733, ,1.25,44.4649, ,1,88.90495, ,0.25,52.95381, ,0.5,37.08852, ,0.75,53.27988, ,2.5,89.97961, ,1.25,74.26465, , 
1,33.18865, ,0.5,6.6, ,0.5,6.875655, ,1,13.56603, ,1,13.56603, ,0.5,88.18526, ,2,63.37364, ,4,78.78906, ,1.25,28.14588, ,2,45.53382, ,0.5,52.8742, ,1,83.20125, ,0.5,70.81147, ,1.5,46.86119, ,1.25,91.66442, ,0.5,55.36494, ,0.75,39.2239, ,1,56.85567, ,2.75,91.05056, ,1.5,76.03002, , 
1.25,36.55544, ,0.75,9.913339, ,0.75,10.30685, ,1.25,16.7449, ,1.25,16.7449, ,0.75,97.34947, ,2.25,62.08551, ,4.25,80.74635, ,1.5,29.07628, ,2.25,47.92387, ,0.75,55.06825, ,1.25,84.78358, ,0.75,72.85814, ,1.75,49.47273, ,1.5,94.6093, ,0.75,58.5337, ,1,41.23571, ,1.25,60.54775, ,3,91.92767, ,1.75,77.55165, , 
1.5,39.74225, ,1,13.01629, ,1,13.76706, ,1.5,20.18277, ,1.5,20.18277, ,1,98.76479, ,2.5,62.3145, ,5,85.14081, ,1.75,29.9989, ,2.5,50.0811, ,1,57.55147, ,1.5,86.17773, ,1,74.72724, ,2,52.24164, ,1.75,97.67153, ,1,61.62232, ,1.25,43.40167, ,1.5,64.26163, ,3.25,92.68052, ,2,79.28092, , 
1.75,42.90636, ,1.25,15.30315, ,1.25,17.03246, ,1.75,23.39785, ,1.75,23.39785, ,1.25,99.59157, ,2.75,62.73938, ,5.25,86.1837, ,2,31.22922, ,2.75,51.75345, ,1.25,60.05028, ,1.75,87.17104, ,1.25,76.50644, ,2.25,55.1103, ,2,99.97761, ,1.25,65.40001, ,1.5,45.72291, ,1.75,67.22563, ,3.5,97.57466, ,2.25,80.73194, , 
