Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
           -5,     -16.41641, ,            -5,     -15.02542, ,            -5,     -55.41643, ,            -5,     -56.26544, ,            -5,     -9.785909, ,            -5,     -41.11057, ,            -5,     -11.34017, ,            -5,     -7.185378, ,            -5,     -19.83127, ,            -5,     -3.735656, ,            -5,      -9.46751, ,            -5,     -21.23384, ,            -5,     -12.86259, ,            -5,     -7.920777, ,            -5,     -7.327671, ,            -5,      -5.39652, ,            -5,     -17.95332, ,            -5,      -55.8554, ,            -5,     -40.91137, ,         -4.75,    -0.1463911, , 
        -4.75,     -16.52775, ,         -4.75,     -13.51496, ,         -4.75,     -55.38638, ,         -4.75,     -55.98872, ,         -4.75,     -7.821664, ,         -4.75,     -39.79765, ,         -4.75,     -9.771782, ,          -4.5,     -4.242718, ,         -4.75,     -23.49349, ,         -4.75,     -3.734326, ,         -4.75,     -7.901863, ,         -4.75,     -19.86755, ,         -4.75,     -11.48191, ,         -4.75,     -5.690321, ,         -4.75,      -5.20046, ,         -4.75,     -3.336036, ,         -4.75,     -15.85621, ,         -4.75,     -55.02052, ,          -4.5,     -37.58426, ,          -4.5,     0.2100378, , 
         -4.5,     -17.19417, ,          -4.5,     -12.20765, ,          -4.5,      -54.7126, ,          -4.5,     -55.34045, ,          -4.5,     -6.098532, ,          -4.5,     -39.28152, ,          -4.5,     -12.46774, ,         -4.25,     -2.440605, ,          -4.5,     -24.54744, ,          -4.5,     -3.692163, ,          -4.5,     -6.569951, ,          -4.5,     -18.46529, ,          -4.5,       -9.3348, ,          -4.5,     -3.444069, ,          -4.5,     -2.859649, ,          -4.5,    -0.9787754, ,          -4.5,     -13.96384, ,          -4.5,     -53.61894, ,         -4.25,     -35.80017, ,         -4.25,     0.7048843, , 
        -4.25,     -18.09696, ,         -4.25,     -10.73511, ,         -4.25,     -54.34143, ,         -4.25,     -53.95974, ,         -4.25,     -4.268967, ,         -4.25,     -39.65964, ,         -4.25,     -11.97332, ,            -4,     0.1779541, ,         -4.25,     -24.97154, ,         -4.25,     -3.568937, ,         -4.25,     -5.067998, ,         -4.25,     -16.84384, ,         -4.25,      -6.98046, ,         -4.25,     -1.250973, ,         -4.25,    -0.4803782, ,         -4.25,      1.396657, ,         -4.25,     -11.83072, ,         -4.25,     -51.65028, ,         -3.75,     -35.14038, ,            -4,      1.413422, , 
           -4,     -17.24594, ,            -4,     -9.103898, ,            -4,      -54.5113, ,            -4,     -51.25914, ,            -4,     -2.373821, ,            -4,     -41.00193, ,            -4,     -11.24085, ,         -3.75,      3.605815, ,            -4,     -24.71114, ,            -4,     -3.438459, ,            -4,     -3.401522, ,            -4,     -16.33999, ,            -4,      -4.76685, ,            -4,      1.264033, ,            -4,      2.032752, ,            -4,      3.925481, ,         -3.75,     -7.217927, ,            -4,     -49.67754, ,          -3.5,     -35.42648, ,         -3.75,      2.509889, , 
        -3.75,     -14.65046, ,         -3.75,     -7.359474, ,         -3.75,     -55.85341, ,          -3.5,     -45.06608, ,         -3.75,    -0.4417628, ,         -3.75,     -43.46583, ,         -3.75,      -10.3409, ,          -3.5,      7.893476, ,         -3.75,     -24.86221, ,         -3.75,     -3.162704, ,         -3.75,     -1.587946, ,         -3.75,     -14.23875, ,         -3.75,     -2.259201, ,         -3.75,      3.877826, ,         -3.75,      4.681899, ,         -3.75,      6.528976, ,          -3.5,     -4.842061, ,         -3.75,     -47.02685, ,         -3.25,     -35.00772, ,          -3.5,      3.462223, , 
         -3.5,       -11.876, ,          -3.5,     -5.660717, ,          -3.5,       -58.999, ,         -3.25,     -41.78574, ,          -3.5,      1.484306, ,          -3.5,     -46.11717, ,          -3.5,     -9.229559, ,         -3.25,       11.9371, ,          -3.5,     -24.41002, ,          -3.5,     -2.943959, ,          -3.5,     0.3271713, ,          -3.5,      -11.9432, ,          -3.5,     0.3843154, ,          -3.5,      6.578887, ,          -3.5,       7.43321, ,          -3.5,      9.218895, ,         -3.25,     -2.355212, ,          -3.5,       -44.348, ,         -2.75,     -33.38396, ,            -3,      5.685697, , 
        -3.25,     -9.266743, ,         -3.25,     -4.194704, ,         -3.25,     -56.55405, ,            -3,     -38.63218, ,         -3.25,      3.718081, ,         -3.25,     -45.56503, ,         -3.25,     -7.718931, ,            -3,      15.74841, ,         -3.25,       -23.378, ,         -3.25,     -2.664587, ,         -3.25,      2.424754, ,         -3.25,     -9.893593, ,         -3.25,      3.153593, ,         -3.25,      9.415305, ,         -3.25,      10.32817, ,         -3.25,      11.93746, ,            -3,      0.252185, ,         -3.25,     -41.38416, ,          -2.5,     -31.00626, ,         -2.75,      6.976631, , 
           -3,     -6.658407, ,            -3,     -2.437579, ,            -3,     -50.80695, ,         -2.75,     -35.34186, ,            -3,      5.704095, ,            -3,     -42.27903, ,            -3,     -10.17399, ,         -2.75,      19.67797, ,            -3,     -23.05245, ,            -3,     -2.311358, ,            -3,      4.281691, ,            -3,     -7.318625, ,            -3,      6.041719, ,            -3,      12.41866, ,            -3,      13.33619, ,            -3,      14.87604, ,         -2.75,      2.994116, ,            -3,     -38.29055, ,            -2,     -25.11334, ,          -2.5,      8.457984, , 
        -2.75,     -4.138392, ,         -2.75,    -0.4591983, ,         -2.75,     -43.95205, ,          -2.5,     -32.17497, ,         -2.75,      7.807127, ,         -2.75,      -39.3438, ,         -2.75,      -7.98644, ,          -2.5,      23.79692, ,         -2.75,     -21.31613, ,         -2.75,     -1.901085, ,         -2.75,      6.348627, ,         -2.75,     -4.597172, ,         -2.75,      9.000607, ,         -2.75,      15.55065, ,         -2.75,      16.49566, ,         -2.75,      17.99917, ,          -2.5,      5.799536, ,         -2.75,     -34.85499, ,         -1.75,     -21.72955, ,         -2.25,      10.17323, , 
