Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
         -2.5,     -1.833381, ,          -2.5,      1.638339, ,          -2.5,     -37.97688, ,         -2.25,     -29.08152, ,          -2.5,      9.958064, ,          -2.5,     -35.81972, ,          -2.5,     -6.880238, ,         -2.25,      27.90179, ,          -2.5,     -19.42475, ,          -2.5,     -1.384478, ,          -2.5,      8.602209, ,          -2.5,     -1.739507, ,          -2.5,      12.23515, ,          -2.5,      18.82533, ,          -2.5,      19.76832, ,          -2.5,       21.3631, ,         -2.25,      8.664666, ,          -2.5,     -31.41436, ,          -1.5,      -18.4081, ,            -2,      14.07767, , 
        -2.25,      0.300457, ,         -2.25,      4.045484, ,         -2.25,     -33.36789, ,            -2,     -25.73679, ,         -2.25,      12.14177, ,         -2.25,     -32.18039, ,         -2.25,     -5.188442, ,            -2,      32.38826, ,         -2.25,     -17.13961, ,         -2.25,     -0.746323, ,         -2.25,      10.85321, ,         -2.25,      1.339955, ,         -2.25,      15.64344, ,         -2.25,      22.32766, ,         -2.25,      23.26734, ,         -2.25,       25.1088, ,            -2,      11.51458, ,         -2.25,     -28.42024, ,         -1.25,     -14.92587, ,         -1.75,      16.36075, , 
           -2,      2.342891, ,            -2,      6.436275, ,            -2,     -28.88199, ,         -1.75,     -22.65051, ,            -2,      14.47316, ,            -2,     -28.21706, ,            -2,     -3.202109, ,         -1.75,      36.61534, ,            -2,     -14.96672, ,            -2,    0.03314471, ,            -2,       13.1948, ,            -2,      4.630345, ,            -2,      19.35938, ,            -2,      26.11012, ,            -2,      27.49524, ,            -2,      29.07069, ,         -1.75,      14.48541, ,            -2,     -25.34524, ,            -1,     -11.58314, ,          -1.5,      18.58363, , 
        -1.75,      3.910504, ,         -1.75,      8.639271, ,         -1.75,     -25.40886, ,          -1.5,     -19.58734, ,         -1.75,      16.85722, ,         -1.75,     -24.13128, ,         -1.75,    -0.9908046, ,          -1.5,      40.65146, ,         -1.75,      -12.9486, ,         -1.75,     0.9841264, ,         -1.75,      15.74618, ,         -1.75,      8.171177, ,         -1.75,      23.60018, ,         -1.75,      30.38086, ,         -1.75,      32.19481, ,         -1.75,      32.93572, ,          -1.5,      17.51076, ,         -1.75,     -22.09877, ,         -0.75,     -8.195172, ,          0.75,      44.28085, , 
         -1.5,      5.443423, ,          -1.5,      11.08471, ,          -1.5,     -21.56595, ,         -1.25,      -16.2333, ,          -1.5,       19.1942, ,          -1.5,     -20.76801, ,          -1.5,      1.365931, ,         -1.25,      45.38904, ,          -1.5,      -11.5149, ,          -1.5,      2.129873, ,          -1.5,       18.0728, ,          -1.5,      12.06091, ,          -1.5,      28.48245, ,          -1.5,       35.5767, ,          -1.5,      36.80559, ,          -1.5,      36.43945, ,         -1.25,      20.55938, ,          -1.5,     -18.98939, ,          -0.5,     -4.845086, ,             1,      49.83631, , 
        -1.25,       7.17931, ,         -1.25,      13.21614, ,         -1.25,     -18.14826, ,            -1,     -13.12137, ,         -1.25,       21.4077, ,         -1.25,     -17.16415, ,         -1.25,      3.924675, ,            -1,      49.08134, ,         -1.25,     -9.232897, ,          0.25,      18.04913, ,         -1.25,      20.32648, ,         -1.25,      16.90795, ,         -1.25,      33.09647, ,         -1.25,      40.39694, ,         -1.25,       40.8363, ,         -1.25,      39.56931, ,            -1,      23.62535, ,         -1.25,     -15.87741, ,         -0.25,     -1.566616, ,          1.25,      53.31207, , 
           -1,      8.898599, ,            -1,      15.45643, ,            -1,      -14.5357, ,         -0.75,     -9.883065, ,            -1,      23.57169, ,            -1,     -13.87788, ,            -1,       6.68575, ,         -0.75,      52.44345, ,            -1,      1.944621, ,           0.5,      20.61915, ,            -1,      22.62577, ,            -1,       21.9609, ,            -1,      37.65423, ,            -1,      44.50584, ,            -1,      44.51439, ,            -1,      43.00267, ,         -0.75,      26.69319, ,            -1,     -12.64037, ,             0,      1.661503, ,           1.5,      56.48543, , 
        -0.75,      10.70917, ,         -0.75,      17.58095, ,         -0.75,       -10.986, ,          -0.5,     -6.615868, ,         -0.75,      25.73121, ,         -0.75,     -10.56703, ,         -0.75,      9.517983, ,          -0.5,      55.81699, ,         -0.75,      8.105968, ,          0.75,      23.70243, ,         -0.75,       25.0162, ,         -0.75,      26.36156, ,         -0.75,      41.83225, ,         -0.75,       48.3017, ,         -0.75,      47.86349, ,         -0.75,      46.32025, ,          -0.5,      29.67853, ,          -0.5,     -6.323237, ,          0.25,      4.838715, ,          1.75,      57.40784, , 
         -0.5,      12.45191, ,          -0.5,      19.07578, ,         -0.25,     -3.782157, ,         -0.25,     -3.285308, ,          -0.5,      28.70709, ,          -0.5,     -6.681293, ,          -0.5,       12.3287, ,         -0.25,      59.85549, ,          -0.5,      14.64769, ,             1,       25.7993, ,          -0.5,      27.33478, ,          -0.5,      30.27035, ,          -0.5,       45.7509, ,          -0.5,      51.91185, ,          -0.5,      50.78983, ,          -0.5,      49.55629, ,         -0.25,      32.50647, ,         -0.25,      -3.19665, ,           0.5,      8.185836, ,             2,      58.50109, , 
        -0.25,      14.08887, ,         -0.25,      20.43218, ,             0,  -5.016632e-6, ,             0,  -1.568623e-5, ,         -0.25,      36.14455, ,         -0.25,     -3.027742, ,         -0.25,      15.06674, ,             0,      64.36741, ,         -0.25,      21.25817, ,          1.25,      30.23874, ,         -0.25,      29.52523, ,         -0.25,      34.23231, ,         -0.25,      49.43479, ,         -0.25,      55.08972, ,         -0.25,      54.33125, ,         -0.25,      52.73952, ,             0,       35.0545, ,             0,   1.139352e-7, ,          0.75,      11.54864, ,          2.25,      60.48775, , 
            0,      15.65024, ,             0,       21.7839, ,          0.25,      3.782181, ,          0.25,      3.285316, ,             0,      46.52616, ,             0,  -0.001450727, ,             0,      17.73925, ,          0.25,       68.9559, ,             0,      28.41081, ,           1.5,      31.38044, ,             0,      31.97166, ,             0,      38.75995, ,             0,      52.64484, ,             0,      57.98492, ,             0,       57.6965, ,             0,      55.69887, ,          0.25,      37.94838, ,          0.25,      3.196651, ,             1,      14.86765, ,           2.5,      62.24312, , 
         0.25,      17.13884, ,          0.25,      24.02017, ,          0.75,      10.98616, ,           0.5,      6.615893, ,          0.25,      52.80546, ,          0.25,      3.025617, ,          0.25,      20.54708, ,           0.5,      73.43773, ,          0.25,      32.92303, ,          1.75,      31.79616, ,          0.25,      34.04409, ,          0.25,      44.26742, ,          0.25,      55.94879, ,          0.25,       61.4513, ,          0.25,      60.97335, ,          0.25,      58.55046, ,           0.5,      40.87404, ,           0.5,      6.323243, ,          1.25,      18.32742, ,          2.75,      64.01696, , 
          0.5,      18.59841, ,           0.5,      26.52153, ,             1,      14.53604, ,          0.75,      9.883162, ,           0.5,      55.85973, ,           0.5,      6.679504, ,           0.5,      23.47454, ,          0.75,      78.12167, ,           0.5,      37.19553, ,             2,      34.37883, ,           0.5,      36.01283, ,           0.5,      50.51107, ,           0.5,      59.49851, ,           0.5,      64.76906, ,           0.5,      64.17049, ,           0.5,      60.74678, ,          0.75,      43.69487, ,             1,      12.64039, ,           1.5,      21.75837, ,             3,      65.71482, , 
         0.75,      20.07066, ,          0.75,      28.85166, ,          1.25,      18.14873, ,             1,      13.12148, ,          0.75,      58.98075, ,          0.75,      10.56568, ,          0.75,      26.41719, ,             1,      81.89046, ,          0.75,      41.44155, ,          2.25,      34.71158, ,          0.75,      38.17443, ,          0.75,      57.11505, ,          0.75,      62.88232, ,          0.75,      68.01491, ,          0.75,      66.98466, ,          0.75,      63.33304, ,             1,      46.44101, ,          1.25,      15.87744, ,          1.75,       25.0135, ,          3.25,       67.3064, , 
            1,      21.63848, ,             1,      30.99132, ,           1.5,      21.56665, ,          1.25,      16.23347, ,             1,      60.83078, ,             1,       13.8752, ,             1,      29.17645, ,          1.25,      86.55846, ,             1,      45.60426, ,           2.5,      34.59906, ,             1,      40.27441, ,             1,      62.01118, ,             1,      66.13159, ,             1,       71.0644, ,             1,       69.3019, ,             1,       66.1166, ,          1.25,      49.23598, ,           1.5,      18.98945, ,             2,      28.42756, ,           3.5,      69.07082, , 
         1.25,      23.33149, ,          1.25,      33.51543, ,          1.75,      25.40989, ,           1.5,      19.58763, ,          1.25,      63.77192, ,          1.25,      17.16198, ,          1.25,       31.8211, ,           1.5,      92.20103, ,          1.25,      49.74145, ,          2.75,      36.16061, ,          1.25,      42.11246, ,          1.25,       65.7101, ,          1.25,       69.2185, ,          1.25,      73.69717, ,          1.25,       71.7478, ,          1.25,      68.85494, ,           1.5,      51.69226, ,          1.75,      22.09885, ,          2.25,      31.39004, ,             4,      74.28712, , 
          1.5,      25.07541, ,           1.5,      36.50172, ,             2,       28.8834, ,          1.75,      22.65093, ,           1.5,      66.06514, ,           1.5,      20.77136, ,           1.5,      34.51132, ,          1.75,      98.53637, ,           1.5,      53.78955, ,             3,      38.69381, ,           1.5,      43.94746, ,           1.5,      68.86439, ,           1.5,      71.90771, ,           1.5,      75.31061, ,           1.5,      74.34305, ,           1.5,      71.48086, ,          1.75,      53.73546, ,             2,      25.34534, ,           2.5,      33.91464, ,          4.25,      76.17291, , 
         1.75,        26.762, ,          1.75,      39.77716, ,          2.25,      33.36994, ,             2,      25.73729, ,          1.75,      69.04902, ,          1.75,      24.12266, ,          1.75,      44.21546, ,             2,      103.7761, ,          1.75,      57.53755, ,          3.25,      41.22314, ,          1.75,      46.14691, ,          1.75,      72.03935, ,          1.75,      76.33119, ,          1.75,      77.93521, ,          1.75,      76.98109, ,          1.75,      73.76245, ,             2,      56.02951, ,          2.25,      28.42035, ,          2.75,      35.60086, ,          4.75,      83.32205, , 
            2,      28.60432, ,             2,      43.13742, ,           2.5,      37.97946, ,          2.25,      29.08225, ,             2,      70.97433, ,             2,      28.23749, ,             2,      50.47676, ,          2.25,      109.6444, ,             2,      60.55909, ,           3.5,      43.29151, ,             2,      47.98415, ,             2,       75.7931, ,          2.25,       86.8718, ,             2,      80.96128, ,             2,      79.78368, ,             2,      76.13605, ,          2.25,      58.50958, ,           2.5,       31.4145, ,             3,       35.7613, ,             5,      84.08973, , 
         2.25,      30.54135, ,          2.25,      46.85485, ,          2.75,      43.95545, ,           2.5,      32.17603, ,          2.25,       73.6494, ,          2.25,      32.16929, ,          2.25,       54.1288, ,           2.5,      116.1626, ,          2.25,      64.54053, ,          3.75,      45.25924, ,          2.25,      49.71125, ,          2.25,      79.11036, ,           2.5,      91.74739, ,          2.25,      84.29441, ,          2.25,      82.46791, ,          2.25,      78.04401, ,           2.5,      60.85551, ,          2.75,      34.85515, ,          3.25,      36.32196, ,          5.25,       84.7909, , 
          2.5,      32.34002, ,           2.5,      50.52728, ,             3,      50.81097, ,          2.75,      35.34313, ,           2.5,      76.44363, ,           2.5,      35.82466, ,           2.5,      57.71007, ,          2.75,      122.8849, ,           2.5,      68.85258, ,             4,      65.74285, ,           2.5,      51.27444, ,           2.5,      81.71745, ,          2.75,      94.27717, ,           2.5,      88.06075, ,           2.5,      84.97062, ,           2.5,      79.64407, ,          2.75,      63.18241, ,             3,      38.29075, ,           3.5,      36.64633, ,           5.5,      85.42731, , 
         2.75,      34.01253, ,          2.75,      54.49039, ,          3.25,       56.5564, ,             3,       38.6339, ,          2.75,      80.19983, ,          2.75,      39.34164, ,          2.75,      60.08143, ,             3,      127.1927, ,          2.75,      72.94828, ,          4.25,      62.94691, ,          2.75,      53.10791, ,          2.75,      84.82564, ,             3,       95.8896, ,          2.75,      91.89937, ,          2.75,      86.57802, ,          2.75,      82.32259, ,             3,      65.52494, ,          3.25,      41.38437, ,          3.75,      35.34858, ,          5.75,      85.99998, , 
            3,      35.85784, ,             3,      59.60143, ,           3.5,      58.99998, ,          3.25,      41.78807, ,             3,      83.10953, ,             3,      42.34519, ,             3,      64.37522, ,          3.25,      128.3478, ,             3,      76.63803, ,           4.5,      65.61564, ,             3,      54.53222, ,             3,      88.15054, ,          3.25,      98.47424, ,             3,      95.05856, ,             3,      89.60122, ,             3,       84.6996, ,          3.25,      67.43748, ,           3.5,      44.34828, ,             4,      35.89206, ,             6,      86.50984, , 
         3.25,      38.32271, ,          3.25,      65.28402, ,          3.75,      55.85395, ,           3.5,      45.06894, ,          3.25,      86.30755, ,          3.25,      45.72872, ,          3.25,      68.16788, ,           3.5,       120.822, ,          3.25,      79.47274, ,          4.75,      68.86145, ,          3.25,      56.12218, ,          3.25,      90.77361, ,           3.5,      101.0378, ,          3.25,      98.69226, ,          3.25,      92.88395, ,          3.25,      86.93864, ,           3.5,      68.90635, ,          3.75,      47.02718, ,          4.25,      37.51606, ,          6.25,      86.96259, , 
          3.5,      38.89965, ,           3.5,      69.19217, ,             4,      54.51398, ,          4.25,      53.96401, ,           3.5,      89.06209, ,           3.5,      46.62458, ,           3.5,      70.98128, ,          3.75,      103.8535, ,           3.5,      83.04073, ,             5,      71.81131, ,           3.5,      57.60543, ,           3.5,      92.71098, ,          3.75,      103.2769, ,           3.5,       103.005, ,           3.5,      96.39179, ,           3.5,      89.26702, ,          3.75,      70.63584, ,             4,      49.67794, ,           4.5,      39.16072, ,           6.5,      87.35554, , 
         3.75,      41.19748, ,          3.75,      72.83593, ,          4.25,      54.34493, ,           4.5,      55.34299, ,          3.75,      91.48079, ,          3.75,      43.56129, ,          3.75,      74.12904, ,             4,      90.48278, ,          3.75,      86.56249, ,          5.25,      73.78162, ,          3.75,      59.24247, ,          3.75,      95.90721, ,             4,      104.8248, ,          3.75,      104.9658, ,          3.75,       99.9164, ,          3.75,      91.24706, ,             4,      72.78888, ,          4.25,      51.65077, ,             5,      42.40539, ,          6.75,      87.67986, , 
            4,      43.26179, ,          4.25,      81.65046, ,           4.5,      54.71658, ,          4.75,      55.99158, ,             4,       95.2501, ,             4,      40.68428, ,             4,      78.50844, ,          4.25,      81.02608, ,             4,      88.66776, ,           5.5,      75.22772, ,             4,       60.6197, ,             4,      98.25104, ,          4.25,      106.3018, ,             4,      106.9392, ,             4,      103.0926, ,             4,      92.71647, ,          4.25,      74.61047, ,           4.5,      53.61945, ,          5.25,      43.97835, ,             7,      87.94109, , 
         4.25,      45.25722, ,           4.5,      82.64614, ,          4.75,      55.39223, ,             5,      56.26804, ,          4.25,       99.3979, ,          4.25,      39.40716, ,          4.25,      79.93484, ,           4.5,      74.22285, ,          4.25,      91.09401, ,          5.75,      74.89012, ,           4.5,      62.83127, ,          4.25,      99.50827, ,           4.5,      108.9215, ,          4.25,      108.5421, ,          4.25,      105.0627, ,          4.25,      93.92235, ,           4.5,      76.34106, ,          4.75,       55.0211, ,           5.5,      45.47971, ,          7.25,      88.13758, , 
          4.5,      47.70893, ,          4.75,      83.01147, ,             5,      55.42331, ,          5.25,      56.74075, ,           4.5,      102.4135, ,           4.5,      39.30196, ,           4.5,      78.60166, ,          4.75,      71.13956, ,           4.5,      91.72351, ,             6,      73.27283, ,          4.75,      63.85241, ,           4.5,      102.2565, ,          4.75,      110.9415, ,           4.5,      108.9616, ,           4.5,      107.4671, ,           4.5,      95.95502, ,          4.75,      77.91375, ,             5,      55.85603, ,          5.75,      46.84966, ,           7.5,      88.23802, , 
         4.75,      51.31029, ,             5,      81.91346, ,          5.25,      57.20258, ,           5.5,      57.51088, ,          4.75,      102.8002, ,          4.75,      39.87094, ,          4.75,      79.21535, ,             5,      65.40787, ,          4.75,      92.53792, ,          6.25,       66.7388, ,             5,      64.99553, ,          4.75,      103.3865, ,             5,      112.1728, ,          4.75,      111.3323, ,          4.75,      109.3333, ,          4.75,      97.85398, ,             5,      79.21124, ,          5.25,      56.02163, ,             6,      48.08784, ,          7.75,      88.25976, , 
            5,      55.57397, ,          5.25,      80.78285, ,           5.5,      55.74706, ,          5.75,      58.22979, ,             5,      102.5504, ,             5,      41.15807, ,             5,      78.96887, ,          5.25,      65.13667, ,             5,      92.33376, ,          8.25,      33.24483, ,          5.25,      66.22413, ,             5,       104.207, ,          5.25,      112.6182, ,             5,      113.4289, ,             5,      111.1846, ,             5,      99.64857, ,          5.25,      79.95092, ,           5.5,      55.89744, ,          6.25,      49.28986, ,             8,      88.21268, , 
         5.25,      60.30689, ,           5.5,      77.04031, ,          5.75,      56.27108, ,             6,      58.24264, ,          5.25,      102.3933, ,          5.25,      42.49728, ,          5.25,      76.43762, ,           5.5,      61.97744, ,          5.25,      91.09743, ,           8.5,      31.84565, ,           5.5,      67.22795, ,          5.25,      105.2784, ,           5.5,      114.8513, ,          5.25,      115.1042, ,          5.25,      112.5691, ,          5.25,      101.3895, ,           5.5,      81.42596, ,          5.75,      55.51746, ,           6.5,      50.54108, ,          8.25,      88.10194, , 
          5.5,      66.51225, ,          5.75,      72.95701, ,             6,      56.27172, ,          6.25,      59.08239, ,           5.5,      103.2871, ,           5.5,      44.29206, ,           5.5,      71.45553, ,          5.75,      58.05436, ,           5.5,        89.067, ,          8.75,      29.63892, ,          5.75,      68.35236, ,           5.5,        105.03, ,          5.75,      116.2732, ,           5.5,      116.0526, ,           5.5,      112.8893, ,           5.5,      102.8026, ,          5.75,      82.70213, ,             6,      55.83018, ,          6.75,      51.62233, ,           8.5,        87.956, , 
         5.75,      71.21688, ,             6,      67.59015, ,          6.25,       56.2595, ,           6.5,      57.91089, ,          5.75,      103.9541, ,          5.75,      46.04054, ,          5.75,      63.33904, ,             6,      53.82204, ,          5.75,      86.80011, ,          9.25,      22.34988, ,             6,      69.12626, ,          5.75,      103.9805, ,             6,       116.525, ,          5.75,      116.0315, ,          5.75,      114.0973, ,          5.75,       103.442, ,             6,      84.00492, ,          6.25,       56.2045, ,             7,      52.56215, ,          8.75,      87.76434, , 
            6,       74.0952, ,          6.25,      61.29276, ,           6.5,      55.99784, ,          6.75,      59.70201, ,             6,      104.4103, ,             6,      47.01896, ,             6,      63.34845, ,          6.25,      49.51496, ,             6,      84.58216, ,            10,      23.05462, ,          6.25,      69.80172, ,             6,       101.215, ,          6.25,      117.2363, ,             6,       117.815, ,             6,      115.6138, ,             6,      105.1323, ,          6.25,      84.74478, ,           6.5,      56.90113, ,          7.25,      53.34873, ,             9,      87.51156, , 
         6.25,      77.15975, ,           6.5,      57.58846, ,          6.75,      52.91371, ,             7,      59.50404, ,          6.25,      104.5696, ,          6.25,      48.69203, ,          6.25,       63.3779, ,           6.5,      42.02244, ,          6.25,      81.62744, ,         10.25,      23.10157, ,           6.5,      71.14403, ,          6.25,      97.12848, ,           6.5,      116.8057, ,          6.25,      119.1866, ,          6.25,      116.7513, ,          6.25,       107.339, ,           6.5,      84.89339, ,          6.75,       57.0208, ,           7.5,      54.23202, ,          9.25,      87.19377, , 
          6.5,      81.88346, ,          6.75,      55.09299, ,             7,       53.2398, ,          7.25,      59.13273, ,           6.5,      104.2869, ,           6.5,      48.63908, ,           6.5,      63.33987, ,          6.75,      38.63657, ,           6.5,      75.76594, ,          10.5,      24.61114, ,          6.75,      72.50842, ,           6.5,      89.91561, ,          6.75,      116.5972, ,           6.5,      119.1335, ,           6.5,      117.2888, ,           6.5,       109.537, ,          6.75,      85.13549, ,             7,      57.63372, ,          7.75,      54.92107, ,           9.5,      86.81031, , 
         6.75,      87.53418, ,             7,      53.56099, ,          7.25,      52.60287, ,           7.5,      57.64001, ,          6.75,      103.2791, ,          6.75,      48.91802, ,          6.75,       63.1869, ,             7,      36.58257, ,          6.75,      68.61282, ,         10.75,       24.2648, ,             7,      73.83149, ,          6.75,      81.85103, ,             7,      115.6493, ,          6.75,      119.8452, ,          6.75,      116.6649, ,          6.75,      110.3725, ,             7,      85.76746, ,          7.25,       58.1304, ,          8.25,      55.88872, ,          9.75,      86.36079, , 
            7,      90.75774, ,          7.25,      50.94292, ,           7.5,      51.82523, ,          7.75,      54.80769, ,             7,      102.8967, ,             7,      47.11151, ,             7,      62.92546, ,           8.5,      15.76197, ,             7,      63.91496, ,            11,      23.92575, ,          7.25,      74.96696, ,             7,      76.37853, ,          7.25,        114.04, ,             7,      118.9154, ,             7,      118.1012, ,             7,      110.4288, ,          7.25,      85.93257, ,           7.5,      58.87752, ,           8.5,      56.14593, ,            10,      85.84456, , 
