Alpha,T1_Re0.500_M0.00_N9.0, ,Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
-2.25,-29.22654, ,-2,25.08786, ,-2.25,19.03188, ,-2.25,7.551746, ,-2.25,9.880667, ,-2.25,21.26973, ,-2.25,19.81746, ,-1,-8.452293, ,-1.5,-8.532696, ,-2.25,20.85737, ,-2.25,19.86969, ,-2.25,17.96713, ,-1.25,37.1572, ,-2,23.10402, ,-2.25,13.35787, ,-2.25,14.16733, ,-2,-1.347308, ,-2,2.543296, ,-2.25,28.083, ,-2.25,-28.87742, , 
-2,-26.68527, ,-1.75,27.3282, ,-2,21.37071, ,-2,8.718962, ,-2,13.2325, ,-2,23.80804, ,-2,22.19597, ,-0.75,-6.336206, ,-1.25,-6.74443, ,-2,23.89343, ,-2,22.74324, ,-2,20.63559, ,-1,39.35357, ,-1.75,26.81279, ,-2,15.45898, ,-2,20.04054, ,-1.75,1.269455, ,-1.75,4.088884, ,-2,30.07965, ,-2,-24.8917, , 
-1.75,-23.55412, ,-1.5,29.49451, ,-1.75,24.00834, ,-1.75,9.986065, ,-1.75,16.46063, ,-1.75,26.3153, ,-1.75,24.69435, ,-0.5,-3.817215, ,-1,-4.582793, ,-1.75,26.64736, ,-1.75,25.39555, ,-1.75,23.00237, ,-0.75,41.6328, ,-1.5,30.65644, ,-1.75,17.73862, ,-1.5,27.47239, ,-1.5,4.163504, ,-1.5,5.980173, ,-1.75,32.27109, ,-1.75,-21.16031, , 
-1.5,-20.7368, ,-1.25,31.595, ,-1.5,26.37989, ,-1.5,11.36152, ,-1.5,20.28121, ,-1.5,28.81623, ,-1.5,27.18534, ,-0.25,-1.584835, ,-0.75,-2.110155, ,-1.5,29.31651, ,-1.5,27.93211, ,-1.5,25.20247, ,-0.5,43.81845, ,-1.25,32.93102, ,-1.5,20.17067, ,-1.25,30.51003, ,-1.25,7.30748, ,-1.25,8.172971, ,-1.5,33.68912, ,-1.5,-16.96442, , 
-1.25,-17.44131, ,-1,33.57616, ,-1.25,30.74982, ,-1.25,12.83625, ,-1.25,23.92286, ,-1.25,31.32, ,-1.25,29.59199, ,0,-1.86556, ,0,17.73084, ,-1.25,32.05475, ,-1.25,30.31451, ,-1.25,27.29339, ,-0.25,45.97576, ,-1,34.78517, ,-1.25,22.66708, ,-1,32.99497, ,-1,10.5386, ,0.75,27.19711, ,-1.25,35.52031, ,-1.25,-13.60324, , 
-1,-14.3732, ,-0.75,35.69453, ,-1,33.86955, ,-1,13.74078, ,-1,27.37758, ,-1,33.84667, ,-1,31.96324, ,0.25,9.902173, ,0.5,25.74679, ,-1,35.02865, ,-1,32.41, ,-1,29.38868, ,0,47.90206, ,-0.75,36.83716, ,-1,25.11668, ,-0.75,35.16611, ,-0.75,13.84212, ,1,29.97682, ,-1,37.21576, ,-1,-10.94456, , 
-0.75,-11.21103, ,-0.5,37.67996, ,-0.75,37.04392, ,-0.75,14.97149, ,-0.75,30.60118, ,-0.75,36.33999, ,-0.75,34.3338, ,0.5,18.68339, ,0.75,29.33923, ,-0.75,37.66787, ,-0.75,35.30883, ,-0.75,31.6119, ,0.25,50.39634, ,-0.5,38.93648, ,-0.75,27.29622, ,-0.5,37.29579, ,-0.5,20.24785, ,1.25,32.61619, ,-0.75,38.56623, ,-0.5,-5.720985, , 
-0.5,-7.832405, ,-0.25,39.61195, ,-0.5,40.1462, ,-0.5,16.55309, ,-0.5,33.54716, ,-0.5,38.73854, ,-0.5,36.74571, ,0.75,22.22649, ,1,32.81361, ,-0.5,39.83807, ,-0.5,38.35897, ,-0.5,33.90239, ,0.5,52.8166, ,-0.25,41.20624, ,1.75,66.23214, ,-0.25,39.55316, ,-0.25,27.76708, ,1.5,35.12606, ,-0.5,39.5309, ,-0.25,-2.918912, , 
-0.25,-4.572849, ,0,41.55081, ,-0.25,43.08121, ,-0.25,18.37056, ,-0.25,37.0637, ,-0.25,41.06104, ,-0.25,39.20878, ,1,25.50824, ,1.25,36.00298, ,-0.25,42.46036, ,-0.25,41.17542, ,-0.25,36.18487, ,0.75,55.2214, ,0,43.40991, ,2.25,74.65189, ,0,42.16008, ,0,35.08536, ,1.75,37.66171, ,-0.25,41.26876, ,0,7.41E-06, , 
0,-1.206266, ,0.25,43.39943, ,0,46.07405, ,0,20.39574, ,0,40.54909, ,0,43.34445, ,0,41.66166, ,1.25,28.99223, ,1.5,39.04692, ,0,45.26711, ,0,43.83452, ,0,38.36643, ,1,57.64322, ,0.25,45.66691, ,2.5,78.96395, ,0.5,47.55393, ,0.25,43.07055, ,2,40.20525, ,0,42.76897, ,0.25,2.918914, , 
0.25,2.258079, ,0.5,45.14744, ,0.25,49.1165, ,0.25,22.63874, ,0.25,43.94485, ,0.25,45.72577, ,0.25,44.09049, ,1.5,32.2493, ,1.75,42.57894, ,0.25,47.92359, ,0.25,46.41609, ,0.25,40.49043, ,1.25,60.73428, ,0.5,47.89986, ,2.75,82.05219, ,0.75,50.2371, ,0.5,48.244, ,2.25,43.92827, ,0.25,43.90216, ,0.5,5.720988, , 
0.5,5.848437, ,0.75,46.80267, ,0.5,53.42387, ,0.5,25.2973, ,0.5,47.2315, ,0.5,48.29831, ,0.5,46.46191, ,1.75,35.2928, ,2,45.94941, ,0.75,53.42441, ,0.5,48.94394, ,0.5,42.58793, ,1.5,63.58396, ,0.75,49.64353, ,3,84.13513, ,1,53.1058, ,0.75,53.30128, ,2.5,47.23149, ,0.5,44.56496, ,1,10.94459, , 
0.75,9.609037, ,1.25,50.2959, ,0.75,57.46737, ,0.75,28.31605, ,0.75,50.65122, ,0.75,50.55063, ,0.75,48.69225, ,2,38.64378, ,2.25,49.18874, ,1,56.13619, ,0.75,51.4124, ,0.75,44.63163, ,1.75,66.18898, ,1,50.55999, ,3.25,85.21696, ,1.25,55.98162, ,1,57.29651, ,2.75,49.98092, ,0.75,45.61376, ,1.25,13.60333, , 
1,13.50197, ,1.5,52.39473, ,1,64.77909, ,1,31.82058, ,1,54.38537, ,1,52.51809, ,1,50.70502, ,2.25,41.69275, ,2.5,52.31695, ,1.25,58.75212, ,1,53.81878, ,1,46.52793, ,2,68.66385, ,1.25,50.99657, ,3.5,86.0079, ,1.5,58.71124, ,1.25,60.61027, ,3,52.24045, ,1,47.53614, ,1.5,16.96475, , 
1.25,17.32084, ,1.75,54.29889, ,1.25,69.89397, ,1.25,46.74368, ,1.25,57.68178, ,1.25,54.113, ,1.25,52.55538, ,2.5,44.2504, ,2.75,55.24861, ,1.5,61.25747, ,1.25,56.17612, ,1.25,48.20827, ,2.25,70.41329, ,1.5,53.03562, ,3.75,87.58694, ,1.75,61.20276, ,1.5,64.26169, ,3.25,54.77315, ,1.25,48.75051, ,1.75,21.16126, , 
1.5,21.64633, ,2,55.8081, ,1.5,70.45015, ,1.5,63.54582, ,1.5,60.69745, ,1.5,55.11973, ,1.5,53.78731, ,2.75,47.15615, ,3,57.82582, ,1.75,63.64439, ,1.5,58.93285, ,1.5,49.48177, ,2.5,70.85559, ,1.75,54.88277, ,4,89.03508, ,2,63.61142, ,1.75,67.78429, ,3.5,57.25111, ,1.5,49.54858, ,2,24.89262, , 
1.75,25.79987, ,2.25,57.2458, ,1.75,71.42497, ,2.5,62.81595, ,1.75,63.39217, ,1.75,56.3967, ,1.75,56.2281, ,3,50.02759, ,3.25,59.38383, ,2,65.91977, ,1.75,61.40996, ,1.75,50.07911, ,2.75,73.14333, ,2,56.5771, ,4.25,90.03524, ,2.25,65.93044, ,2,70.5621, ,4,82.64599, ,1.75,49.9181, ,2.25,28.87988, , 
2,29.80096, ,2.5,58.68725, ,2,73.22801, ,2.75,67.00363, ,2,65.32054, ,2,58.52579, ,2,58.58382, ,3.25,52.55115, ,3.5,62.34942, ,2.25,68.38843, ,2,63.64024, ,2,52.1478, ,3,75.40696, ,2.25,58.13997, ,4.5,90.40602, ,2.5,68.49603, ,2.25,73.28393, ,4.25,84.5349, ,2,50.21513, ,2.5,32.71645, , 
