Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
        -2.25,      8.346599, ,         -2.25,      11.10148, ,         -2.25,      15.74337, ,         -1.75,      19.37668, ,         -2.25,     0.5406557, ,         -2.25,      22.02329, ,         -1.75,      23.86202, ,          -2.5,      19.13748, ,            -2,      8.714221, ,         -2.25,      29.04569, ,          -2.5,      30.84322, ,          -2.5,      30.06765, ,          -2.5,      21.54066, ,         -2.25,      16.77651, ,          -1.5,      29.74964, ,          -2.5,      10.43062, ,         -2.25,      9.529659, ,          -2.5,      1.735732, ,          -2.5,     0.7229095, ,            -2,      13.19457, ,         -1.25,     0.9274025, ,          -0.5,      33.12246, ,            -1,      21.19028, ,         -1.25,      9.884126, ,          -2.5,      7.814033, ,          -2.5,      28.73921, ,            -2,     -16.87361, ,         -2.25,      -14.2209, ,          -2.5,     -6.270538, ,          -1.5,      8.419543, ,         -1.25,      15.10529, ,         -1.75,      2.249655, ,          -2.5,     -3.671118, ,          -2.5,     -10.23186, ,          -2.5,     -11.87649, ,          -2.5,     -13.58909, ,          -2.5,      -17.9985, ,         -2.25,      5.012003, ,          -2.5,      3.444764, ,          -2.5,     -6.141703, ,         -2.25,     -10.63213, ,          -2.5,     -15.55306, ,          -2.5,     -20.33472, ,         -2.25,      12.55632, ,          -2.5,       16.3513, ,         -1.75,      22.29556, ,            -2,   -0.02650564, ,            -1,     -11.31841, ,          -2.5,     -9.075018, ,          -2.5,      15.31082, , 
           -2,      9.936707, ,            -2,      13.10091, ,            -2,      17.67702, ,          -1.5,      21.61832, ,            -2,        3.3692, ,            -2,      24.63997, ,          -1.5,      26.15908, ,         -2.25,      19.98344, ,          -1.5,      15.18889, ,            -2,      30.46118, ,         -2.25,      32.76304, ,         -2.25,      32.52827, ,         -2.25,      24.21412, ,            -2,       19.3357, ,         -1.25,      32.38577, ,         -2.25,      12.16185, ,            -2,       11.7682, ,         -2.25,      2.917837, ,         -2.25,      3.920831, ,         -1.75,      14.78537, ,            -1,       4.35739, ,         -0.25,      35.90639, ,         -0.75,      23.17874, ,            -1,      12.03088, ,          -1.5,      12.91136, ,         -2.25,      33.51721, ,         -1.75,     -15.33193, ,            -2,      -11.1792, ,         -2.25,     -5.238082, ,         -1.25,      10.43253, ,            -1,      16.95798, ,          -1.5,      4.890949, ,         -2.25,     -2.252506, ,         -2.25,     -8.215793, ,         -2.25,     -9.912295, ,         -2.25,     -11.93477, ,         -2.25,      -16.3521, ,            -2,       7.60181, ,         -2.25,      5.920098, ,         -2.25,     -3.856468, ,            -2,     -8.679674, ,         -2.25,     -13.92259, ,         -2.25,     -18.55725, ,            -2,      16.29729, ,         -2.25,      19.36707, ,          -1.5,      25.01467, ,         -1.75,      3.280187, ,         -0.75,     -8.496299, ,         -2.25,     -7.310755, ,         -2.25,      18.56564, , 
        -1.75,      11.84356, ,         -1.75,      14.91059, ,         -1.75,      19.90814, ,         -1.25,      23.91447, ,         -1.75,      6.092499, ,         -1.75,      27.20292, ,         -1.25,      28.74647, ,            -2,      20.87656, ,         -1.25,      17.98993, ,         -1.75,      31.32263, ,            -2,       34.7716, ,            -2,      35.40471, ,            -2,      26.90971, ,         -1.75,      21.81784, ,            -1,       35.1207, ,            -2,      13.90333, ,         -1.75,      14.08339, ,            -2,      4.302881, ,            -2,      7.175175, ,          -1.5,      15.52584, ,         -0.75,      8.202293, ,             0,      38.69094, ,          -0.5,      26.68839, ,         -0.75,      14.17083, ,         -1.25,      14.22563, ,            -2,      39.67032, ,          -1.5,     -13.41959, ,         -1.75,      -8.11472, ,            -2,     -4.045365, ,            -1,      11.85214, ,         -0.75,      18.58517, ,         -1.25,      7.671684, ,            -2,    -0.6065178, ,            -2,     -5.935437, ,            -2,     -7.661267, ,            -2,     -9.881932, ,            -2,     -14.46907, ,         -1.75,      10.18958, ,            -2,      8.603949, ,            -2,     -1.345064, ,         -1.75,     -6.557106, ,            -2,     -11.99953, ,            -2,     -16.59195, ,         -1.75,      20.18673, ,            -2,      22.42701, ,         -1.25,      27.64049, ,          -1.5,      7.675917, ,          -0.5,      -5.45796, ,            -2,     -4.747196, ,            -2,      21.82974, , 
         -1.5,      13.93059, ,          -1.5,      15.62757, ,          -1.5,      22.32252, ,            -1,      25.94151, ,          -1.5,      8.723068, ,          -1.5,      29.73502, ,            -1,      31.58609, ,         -1.75,      21.55009, ,            -1,      20.91537, ,          -1.5,      32.12149, ,         -1.75,       36.7112, ,         -1.75,      37.78193, ,         -1.75,       37.4016, ,          -1.5,      24.18678, ,         -0.75,      37.39368, ,         -1.75,      15.70726, ,          -1.5,      16.47176, ,         -1.75,      5.835275, ,         -1.75,       10.4874, ,         -1.25,      15.53205, ,          -0.5,      12.19631, ,          0.25,      41.49479, ,         -0.25,       30.7529, ,          -0.5,      16.30001, ,             2,      60.68709, ,         -1.75,      44.76841, ,         -1.25,     -10.34084, ,          -1.5,     -5.098321, ,         -1.75,     -2.689851, ,         -0.75,      13.90015, ,          -0.5,      20.43707, ,            -1,      10.54555, ,         -1.75,      1.227127, ,         -1.75,     -3.611171, ,         -1.75,     -5.199193, ,         -1.75,     -7.518541, ,         -1.75,     -12.62323, ,          -1.5,      13.37935, ,         -1.75,      11.41165, ,         -1.75,      1.380043, ,          -1.5,      -4.29695, ,         -1.75,     -9.881084, ,         -1.75,      -15.9929, ,          -1.5,      24.24573, ,         -1.75,       25.7412, ,            -1,      29.99858, ,         -1.25,      11.00881, ,         -0.25,     -2.587673, ,         -1.75,     -1.936767, ,         -1.75,      24.96526, , 
        -1.25,      16.08035, ,         -1.25,      18.38144, ,         -1.25,      24.87322, ,          -0.5,      28.79333, ,         -1.25,      11.61365, ,         -1.25,      32.21278, ,         -0.75,       34.3998, ,          -1.5,       24.6961, ,         -0.75,      23.89643, ,         -1.25,      33.80915, ,          -1.5,      38.65399, ,          -1.5,      40.32968, ,          -1.5,      41.58221, ,         -1.25,      26.43434, ,          -0.5,      37.48356, ,         -0.25,      37.24319, ,         -1.25,      18.92287, ,          -1.5,      7.495265, ,          -1.5,      13.84369, ,            -1,      17.69611, ,         -0.25,      15.91326, ,           0.5,      44.31049, ,             0,      33.26813, ,         -0.25,      18.41473, ,          2.25,      62.21158, ,          -1.5,      47.29504, ,            -1,       -7.1669, ,         -1.25,     -1.938408, ,          -1.5,     -1.225466, ,             1,      29.06019, ,         -0.25,      22.75349, ,         -0.75,      13.49186, ,          -1.5,      3.373558, ,          -1.5,     -1.182301, ,          -1.5,     -2.919456, ,          -1.5,      -5.06835, ,          -1.5,     -10.38193, ,         -1.25,      16.80076, ,          -1.5,      15.06225, ,          -1.5,      4.269952, ,         -1.25,     -1.959135, ,          -1.5,     -7.599478, ,          -1.5,     -13.71187, ,         -1.25,      28.50222, ,          -1.5,      29.03714, ,         -0.75,      32.46236, ,            -1,      12.61419, ,             0,  -3.807558e-8, ,          -1.5,      1.089568, ,          -1.5,      28.17098, , 
           -1,      18.27179, ,            -1,      20.15442, ,            -1,      27.54988, ,         -0.25,       30.9794, ,            -1,      14.71842, ,            -1,      34.58836, ,          -0.5,      36.88819, ,         -1.25,      25.33222, ,          -0.5,      26.93071, ,            -1,       35.8091, ,         -1.25,      42.29143, ,         -1.25,      42.79611, ,         -1.25,      45.28912, ,            -1,      28.60515, ,         -0.25,      40.03172, ,             0,      39.06263, ,            -1,      21.42496, ,         -1.25,      9.218726, ,         -1.25,      17.15657, ,         -0.75,      18.06824, ,             0,      19.43061, ,          0.75,      47.05952, ,          0.25,      35.39284, ,             0,      20.51375, ,           2.5,      61.84909, ,         -1.25,        52.746, ,         -0.75,     -4.127933, ,            -1,      1.297525, ,         -1.25,     0.3940788, ,          1.25,       30.4537, ,             0,      25.02609, ,          -0.5,      16.52128, ,         -1.25,      5.799297, ,         -1.25,      1.448266, ,         -1.25,    -0.2543723, ,         -1.25,     -2.436464, ,         -1.25,     -7.832609, ,            -1,      20.28083, ,         -1.25,      19.31511, ,         -1.25,      7.515522, ,            -1,     0.4112083, ,         -1.25,     -5.203168, ,         -1.25,     -11.04894, ,            -1,      32.91064, ,         -1.25,      32.29224, ,          -0.5,      35.46289, ,         -0.75,      14.95026, ,          0.25,      2.588116, ,            -1,       7.55392, ,         -1.25,      31.48228, , 
        -0.75,      20.44514, ,         -0.75,      21.53988, ,         -0.75,      30.33599, ,             0,        32.997, ,         -0.75,      17.48921, ,         -0.75,      36.80759, ,         -0.25,      39.10438, ,            -1,       25.8268, ,         -0.25,      29.87235, ,         -0.75,      37.76052, ,            -1,      44.85278, ,            -1,       45.0365, ,            -1,       48.9339, ,         -0.75,      30.67853, ,             0,      42.53442, ,          0.75,      51.74124, ,         -0.75,      23.95461, ,            -1,      10.73652, ,            -1,       20.3939, ,          -0.5,      18.42207, ,          0.25,      23.09396, ,             1,      49.65783, ,           0.5,       36.5884, ,          0.25,      22.59492, ,          2.75,      57.46405, ,            -1,      56.48231, ,          -0.5,    -0.9199106, ,         -0.75,       4.64044, ,         -0.75,      3.767125, ,          1.75,      36.40767, ,          0.25,      27.14244, ,         -0.25,      19.66198, ,            -1,      8.365873, ,            -1,      4.234507, ,            -1,      2.693788, ,            -1,      0.431601, ,            -1,      -5.65631, ,         -0.75,      24.12109, ,         -0.75,      26.67245, ,            -1,      12.29375, ,         -0.75,       2.77386, ,            -1,     -2.752453, ,            -1,     -8.301908, ,         -0.75,      37.39993, ,            -1,      35.49845, ,          0.25,      44.72059, ,          -0.5,      18.59114, ,           0.5,      5.458587, ,         -0.75,      10.93901, ,            -1,      34.96871, , 
            1,      38.45099, ,          -0.5,      22.37003, ,          -0.5,       33.1931, ,          0.25,      34.91711, ,          0.75,      35.33914, ,          -0.5,      39.52719, ,             0,      41.30785, ,         -0.75,      26.52189, ,             0,      32.67588, ,          -0.5,      39.74107, ,         -0.75,      47.05197, ,         -0.75,      47.31462, ,         -0.75,      52.47726, ,          -0.5,      32.68814, ,          0.25,      45.00326, ,             1,      57.15685, ,          -0.5,      26.48983, ,           0.5,       28.7104, ,         -0.75,      23.54468, ,             0,       18.6658, ,           0.5,      26.69542, ,          1.25,      51.47646, ,          0.75,      42.08638, ,           0.5,       24.6564, ,           4.5,      68.29044, ,         -0.75,      59.67899, ,         -0.25,      11.77856, ,          -0.5,       8.14382, ,          -0.5,      5.642555, ,             2,      38.85644, ,          0.75,      31.55926, ,             0,      24.44175, ,         -0.75,      11.33605, ,         -0.75,      7.305567, ,          -0.5,      9.029684, ,         -0.75,      3.329844, ,         -0.75,     -5.766891, ,          -0.5,      32.29727, ,          -0.5,      30.07831, ,         -0.75,      16.63261, ,          -0.5,      5.383689, ,         -0.75,    -0.2599601, ,         -0.75,     -5.483793, ,          -0.5,      42.43317, ,         -0.75,      38.63276, ,           0.5,      47.74182, ,         -0.25,      21.02421, ,          0.75,      8.497249, ,          -0.5,      14.42192, ,         -0.75,      38.62751, , 
         1.25,       39.1842, ,          0.75,      40.75826, ,         -0.25,      36.01367, ,           0.5,      36.95072, ,             1,      38.30731, ,         -0.25,      41.11813, ,          0.25,      43.45059, ,          -0.5,      26.01906, ,          0.25,      35.41013, ,         -0.25,      41.63685, ,          -0.5,      49.86672, ,          -0.5,      49.97863, ,          -0.5,      55.49965, ,         -0.25,      34.64862, ,           0.5,      47.54089, ,          1.25,      61.97188, ,          0.25,      34.08741, ,          1.25,      37.14732, ,          -0.5,      26.77927, ,          0.25,      20.37733, ,             1,      31.55187, ,           1.5,       53.9582, ,             1,      46.84516, ,          0.75,      26.69867, ,          4.75,      68.08691, ,          -0.5,      63.53209, ,             0,      22.63725, ,         -0.25,      12.04586, ,         -0.25,      7.400414, ,          2.25,      41.02228, ,             1,      35.22359, ,          0.25,      29.28872, ,          -0.5,      14.63284, ,          -0.5,      10.92105, ,         -0.25,      17.68596, ,          -0.5,      5.875301, ,          -0.5,    -0.3114922, ,         -0.25,      36.97818, ,         -0.25,       34.4092, ,          -0.5,      20.77291, ,         -0.25,      8.292652, ,          -0.5,      2.600445, ,          -0.5,     -2.741059, ,         -0.25,      64.67167, ,          -0.5,      41.79076, ,          0.75,      50.77712, ,             0,       25.1147, ,             1,      11.32082, ,         -0.25,       14.7695, ,          -0.5,      42.54901, , 
          1.5,      43.11647, ,             1,      40.80306, ,             0,      38.33465, ,          0.75,      39.13268, ,          1.25,      40.10611, ,             0,      43.19029, ,           0.5,      45.48578, ,          0.75,      46.52335, ,           0.5,      38.09444, ,             0,      43.43863, ,         -0.25,      52.51894, ,         -0.25,      52.61315, ,         -0.25,      58.61611, ,             0,       36.5613, ,          0.75,      50.47122, ,           1.5,      66.37687, ,           0.5,       36.5013, ,           1.5,      40.60227, ,         -0.25,      30.07916, ,           0.5,      22.23981, ,          1.25,      34.65685, ,          1.75,      56.61632, ,          1.25,      49.59135, ,             1,      28.72169, ,             5,      68.42394, ,         -0.25,      66.97811, ,          0.25,      29.28098, ,             0,      16.56998, ,          1.75,      27.33337, ,           2.5,      42.93297, ,          1.25,      37.86843, ,           0.5,      34.67617, ,         -0.25,      28.20036, ,         -0.25,      16.60019, ,             0,      25.01697, ,             0,       28.4128, ,         -0.25,      8.327097, ,             0,      41.03953, ,             0,      38.88551, ,         -0.25,       25.0156, ,             0,       11.2701, ,         -0.25,      5.756408, ,         -0.25,     0.7088946, ,             0,       67.9274, ,         -0.25,      44.80179, ,             1,      53.75422, ,          0.25,      28.69934, ,          1.25,      15.15795, ,             0,      18.18654, ,         -0.25,      46.82006, , 
         1.75,      47.05728, ,           1.5,      48.15559, ,          0.25,      39.82264, ,             1,      41.96994, ,           1.5,      40.68887, ,          0.25,      45.18534, ,          0.75,      47.33754, ,           1.5,      19.43113, ,          0.75,       40.6456, ,          0.25,      45.14595, ,             0,      55.09785, ,             0,        55.196, ,             0,      61.71017, ,          0.25,      38.49029, ,             1,      55.29751, ,          1.75,      69.76329, ,          0.75,      38.67374, ,          1.75,      43.86541, ,             0,      33.80568, ,          0.75,      24.08819, ,           1.5,      40.26707, ,             2,      62.20575, ,           1.5,      51.45138, ,          1.25,      30.72031, ,          5.25,      68.55135, ,             0,      69.27126, ,           0.5,      34.68763, ,          0.25,      21.21712, ,             2,      29.61626, ,          2.75,      44.59789, ,           1.5,      40.98025, ,          0.75,      39.82166, ,             0,      34.77003, ,             0,      25.08881, ,          0.25,      34.15922, ,          0.25,       32.8409, ,             0,      18.30743, ,          0.25,      44.82756, ,          0.25,      44.51334, ,             0,      29.38612, ,          0.25,      19.60194, ,             0,      8.939928, ,             0,      4.500203, ,          0.25,      70.42018, ,             0,      47.61621, ,          1.25,      56.73862, ,           0.5,      32.19317, ,          1.75,      23.51319, ,          0.25,       23.0746, ,             0,      51.27809, , 
            2,      49.62944, ,          1.75,      50.93046, ,           0.5,      42.39124, ,          1.25,      45.87839, ,          1.75,      42.03602, ,           0.5,      47.61445, ,             1,      48.90519, ,          1.75,      19.03124, ,             1,       42.5722, ,           0.5,      46.76448, ,          0.25,      57.77666, ,          0.25,      57.88092, ,          0.25,      64.76268, ,           0.5,       40.6701, ,          1.25,      58.16939, ,             2,      72.56458, ,          1.25,       36.0254, ,             2,      46.86458, ,          0.25,      37.11927, ,             1,      25.89626, ,          1.75,      44.38603, ,          2.25,      64.05501, ,             2,      50.28526, ,          1.75,        35.127, ,           5.5,      68.41894, ,          0.25,       72.4828, ,          0.75,      37.44511, ,           0.5,      26.00295, ,          2.25,      32.25189, ,             3,      46.14752, ,          1.75,      43.58322, ,             1,      44.33642, ,          0.25,      41.70015, ,          0.25,      31.32067, ,           0.5,      40.18904, ,           0.5,      37.14439, ,          0.25,      25.46546, ,           0.5,      48.25687, ,           0.5,      49.85922, ,          0.25,       33.4699, ,           0.5,      25.27544, ,          0.25,      12.15216, ,          0.25,      8.270433, ,           0.5,      73.16002, ,          0.25,      50.44745, ,           1.5,      59.74215, ,          0.75,      33.49371, ,             2,      23.58007, ,           0.5,      29.71564, ,          0.25,      55.70421, , 
         2.25,      51.74641, ,             2,      53.73036, ,          0.75,      44.96516, ,           1.5,      48.66951, ,             2,      42.80064, ,          0.75,      50.11346, ,          1.25,      49.95505, ,             2,      19.23021, ,          1.25,      43.05007, ,          0.75,      48.27341, ,           0.5,      60.92268, ,           0.5,      60.87791, ,           0.5,      67.76818, ,          0.75,      44.26432, ,           1.5,       61.0363, ,          2.25,      74.81876, ,           1.5,      37.92754, ,          2.25,      49.41328, ,           0.5,      40.44167, ,          1.25,       27.8572, ,             2,      47.62953, ,           2.5,      65.70228, ,          2.25,       52.1868, ,             2,      37.48375, ,          5.75,        62.108, ,           0.5,      91.69447, ,             1,      37.07425, ,          0.75,      30.55159, ,           2.5,      34.86843, ,          3.25,      47.55452, ,             2,      45.52304, ,          1.25,      49.06264, ,           0.5,      49.41636, ,           0.5,      39.13272, ,          0.75,      44.27512, ,          0.75,      41.62823, ,           0.5,      29.74992, ,          0.75,      51.19292, ,          0.75,      55.31828, ,           0.5,      36.52091, ,          0.75,      29.93093, ,           0.5,      19.75015, ,           0.5,       11.9582, ,          0.75,      75.56423, ,           0.5,      53.72982, ,          1.75,      62.84224, ,             1,      31.24248, ,          3.25,      22.54675, ,          0.75,      35.21761, ,           0.5,      60.68339, , 
          2.5,      53.79671, ,          2.25,       56.3437, ,             1,      47.19291, ,          1.75,      51.38122, ,          2.25,      44.27522, ,             1,      52.54393, ,           1.5,      34.61797, ,           2.5,      38.24953, ,           1.5,      44.64839, ,             1,      49.59334, ,          0.75,      64.53049, ,          0.75,      64.24512, ,          0.75,        74.587, ,             1,      46.20029, ,          1.75,       64.7746, ,           2.5,      76.85225, ,          1.75,      39.82012, ,           2.5,      48.16352, ,          0.75,      44.20496, ,           1.5,      30.32264, ,          2.25,      48.48705, ,          2.75,      67.15038, ,           2.5,      53.98141, ,          2.25,      40.14762, ,          6.25,       60.1226, ,          0.75,      94.97173, ,          1.25,      38.47903, ,             1,      35.41807, ,          2.75,      37.34633, ,           3.5,      49.17749, ,          2.25,      46.23316, ,           1.5,      52.02676, ,          0.75,      54.25794, ,          0.75,      45.99934, ,             1,       48.0352, ,             1,      45.69174, ,          0.75,      33.91423, ,             1,      54.69854, ,             1,      59.47998, ,          0.75,      39.68686, ,             1,      34.55757, ,          0.75,      24.64206, ,          0.75,      15.36163, ,             1,      77.30853, ,          0.75,      57.36506, ,             2,       66.0261, ,          1.25,      30.71155, ,          4.25,      18.68663, ,             1,      41.49111, ,          0.75,      67.47934, , 
         2.75,      55.81891, ,           2.5,      58.68667, ,          1.25,      49.17218, ,             2,      53.91241, ,           2.5,       46.3339, ,          1.25,      54.53539, ,          1.75,      35.81743, ,             3,      45.74492, ,          1.75,      44.95092, ,          1.25,      50.31762, ,             1,      68.73198, ,             1,      68.28569, ,             1,      84.15622, ,          1.25,      48.29404, ,             2,      68.07868, ,          2.75,       79.2269, ,             2,      41.52055, ,          2.75,      48.54529, ,             1,      48.33253, ,          1.75,      32.60953, ,           2.5,      43.03263, ,             3,      68.63637, ,          2.75,      56.57383, ,           2.5,      42.35752, ,           6.5,      60.24471, ,             1,      96.00198, ,           1.5,      39.63588, ,          1.25,      40.08553, ,             3,      39.66043, ,          3.75,      50.37067, ,           2.5,      48.49351, ,          1.75,       55.7542, ,             1,      54.34105, ,             1,      49.35217, ,          1.25,      51.30145, ,          1.25,      49.60168, ,             1,      38.11255, ,          1.25,      57.96505, ,          1.25,      63.20757, ,          1.25,      47.71395, ,          1.25,      38.66417, ,             1,      29.06349, ,             1,      18.75924, ,          1.25,      79.66001, ,             1,      60.86324, ,          2.25,      69.20861, ,           1.5,      31.07622, ,           4.5,       18.2888, ,          1.25,      48.85898, ,             1,      74.02957, , 
            3,      57.79919, ,          2.75,      60.72911, ,          1.75,      55.32155, ,          2.25,      56.01664, ,          2.75,      48.35468, ,           1.5,      56.45702, ,             2,      36.98256, ,          3.25,      47.15227, ,             2,      45.93953, ,           1.5,      50.64627, ,          1.25,      74.11876, ,          1.25,      72.01486, ,          1.25,      95.79699, ,           1.5,      50.92823, ,          2.25,      71.37645, ,             3,       81.6293, ,          3.75,      41.78158, ,             3,      49.24684, ,          1.25,      52.39521, ,             2,      34.49608, ,          2.75,      43.37979, ,          3.25,      70.17229, ,             3,      59.50837, ,          2.75,      44.38631, ,          6.75,      60.53862, ,          1.25,      96.00789, ,          1.75,      41.27831, ,           1.5,      45.99443, ,          3.25,      41.82868, ,             4,      51.94566, ,          2.75,      51.59941, ,             2,      58.27357, ,          1.25,      54.05878, ,          1.25,      51.15347, ,           1.5,      52.79648, ,           1.5,      53.01016, ,          1.25,      42.15129, ,           1.5,      61.32798, ,           1.5,      68.50295, ,           1.5,      52.74881, ,           1.5,      42.08948, ,          1.25,      33.41633, ,          1.25,      21.07404, ,           1.5,      80.96662, ,          1.25,      64.44325, ,           2.5,      72.42892, ,          1.75,      32.04338, ,          4.75,      17.46157, ,           1.5,      55.78068, ,          1.25,      78.01459, , 
          3.5,      61.27407, ,             3,      62.35116, ,             2,       58.0922, ,           2.5,      58.01705, ,             3,       50.1868, ,          1.75,      58.25974, ,          2.25,      38.05365, ,           3.5,      48.30769, ,          2.25,      47.33357, ,          1.75,      51.40176, ,           1.5,      79.66733, ,           1.5,      76.77856, ,           1.5,      96.97745, ,          1.75,      52.94014, ,           2.5,      74.07517, ,          3.25,      83.93144, ,             4,      41.74882, ,          3.25,      49.87985, ,           1.5,      56.15525, ,          2.25,      36.17027, ,             3,      38.95742, ,           3.5,      71.79166, ,          3.25,      60.84657, ,             3,      46.30627, ,             7,      60.58139, ,           1.5,      95.80213, ,             2,      43.67358, ,             2,      50.16891, ,           3.5,      52.56177, ,          4.25,      53.50286, ,             3,      53.91023, ,          2.25,      61.39017, ,           1.5,      52.91874, ,           1.5,      51.26975, ,          1.75,      52.92632, ,          1.75,      55.43031, ,           1.5,      45.84536, ,          1.75,       64.8891, ,          1.75,      73.85477, ,          1.75,      57.19093, ,          1.75,      44.79402, ,           1.5,      37.17309, ,           1.5,      21.61308, ,          1.75,      83.03607, ,           1.5,      67.63912, ,          2.75,      75.37882, ,             2,      33.22275, ,             6,      12.71873, ,          1.75,      70.86232, ,           1.5,      82.27816, , 
         3.75,       63.9744, ,          3.25,      63.20986, ,          2.25,      61.12748, ,          2.75,      59.93216, ,          3.25,      51.85515, ,             2,      59.96136, ,           2.5,      39.49898, ,          3.75,      49.22285, ,           2.5,      48.98286, ,             2,      52.12831, ,          1.75,      85.16357, ,          1.75,      81.07304, ,          1.75,      96.52851, ,             2,      55.21964, ,          2.75,      75.57569, ,           3.5,      86.14251, ,          4.25,      41.98781, ,           3.5,      52.15671, ,          1.75,      59.39334, ,           2.5,      37.69953, ,          3.25,       40.2241, ,          3.75,      73.61698, ,           3.5,      57.44921, ,          3.25,      48.17583, ,          7.25,      60.66285, ,          1.75,      95.99567, ,          2.25,      46.27954, ,          2.25,       51.3998, ,          3.75,      59.48208, ,           4.5,      58.04932, ,          3.25,       55.3571, ,           2.5,      63.62814, ,          1.75,      52.29151, ,          1.75,       51.5656, ,             2,      53.24689, ,             2,      55.48512, ,          1.75,      48.94753, ,             2,       68.6674, ,             2,      78.56634, ,             2,      61.17091, ,             2,      47.62764, ,          1.75,      40.28826, ,          1.75,      22.18874, ,             2,      84.28247, ,          1.75,      70.70835, ,             3,      77.60812, ,          2.25,      34.69483, ,          6.25,      12.27379, ,             2,      88.20063, ,          1.75,      85.74448, , 
            4,      68.27206, ,          3.75,      62.11196, ,           2.5,      63.97731, ,             3,      61.65361, ,           3.5,      53.54442, ,          2.25,      61.64058, ,          2.75,      41.12125, ,             4,      49.76191, ,          2.75,      50.87412, ,          2.25,      53.07642, ,             2,      89.68388, ,             2,      85.51407, ,             2,       97.0621, ,          2.25,      57.44463, ,             3,      76.75145, ,          3.75,      88.17178, ,           4.5,      41.14266, ,             4,      68.22034, ,             2,      61.74914, ,          2.75,      39.15182, ,          3.75,      43.55406, ,             4,      75.53143, ,          3.75,       56.8353, ,           3.5,      49.98627, ,           7.5,      60.50293, ,             2,      95.22148, ,           2.5,      46.98459, ,           2.5,      52.38871, ,             4,      62.98707, ,          4.75,       67.6552, ,           3.5,      55.07153, ,          2.75,      63.00631, ,             2,      52.05423, ,             2,      52.76542, ,          2.25,      54.33757, ,          2.25,      55.16985, ,             2,      50.22547, ,          2.25,      72.21805, ,          2.25,      82.90125, ,          2.25,      64.79205, ,          2.25,      50.14904, ,             2,      43.28907, ,             2,      21.83664, ,          2.25,      86.23825, ,             2,      73.62289, ,           3.5,      83.35623, ,           2.5,      36.28824, ,           6.5,      11.66783, ,          2.25,      73.22556, ,             2,      89.50372, , 
