Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, ,Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
-2.25,36.92134, ,-2.25,33.85494, ,-2.25,3.934538, ,-2.25,32.4664, ,-2.25,24.58046, ,-2.25,19.25133, ,-2.25,-23.77379, ,-1.5,43.72961, ,-2.25,20.58895, ,-2.25,27.5203, ,-2.25,24.04438, ,-2.25,4.536018, ,-2.25,42.25809, ,-2.25,-7.191115, ,-2.25,-7.572037, ,-2.25,-1.152315, ,-2.25,27.66248, ,-2.25,-7.551875, ,1.25,54.65124, ,0.25,46.27735, , 
-2,40.65991, ,-2,37.79124, ,-2,6.258089, ,-2,38.02464, ,-2,26.96385, ,-2,22.64562, ,-2,-21.25664, ,-1.25,46.06057, ,-2,23.25472, ,-2,30.12224, ,-2,26.88622, ,-2,7.049367, ,-2,43.79699, ,-2,-3.591812, ,-2,-5.492698, ,-2,-0.6718783, ,-2,30.24995, ,-2,-7.505318, ,1.5,56.17731, ,0.5,48.14599, , 
-1.75,45.2735, ,-1.75,41.63858, ,-1.75,8.565086, ,-1.75,42.87172, ,-1.75,30.31341, ,-1.75,26.28656, ,-1.75,-18.67104, ,-0.75,50.5922, ,-1.75,25.93599, ,-1.75,32.77528, ,-1.75,29.48309, ,-1.75,9.537839, ,-1.75,46.37167, ,-1.75,0.1930247, ,-1.75,-3.659884, ,-1.75,0.5361253, ,-1.75,32.93743, ,-1.75,-7.375624, ,1.75,57.63792, ,0.75,49.96095, , 
-1.5,49.66699, ,-1.5,45.27311, ,-1.5,11.16765, ,-1.5,46.28165, ,-1.5,33.53679, ,-1.5,30.10087, ,-1.5,-15.98437, ,-0.5,52.96706, ,-1.5,28.60047, ,-1.5,35.36267, ,-1.5,32.03403, ,-1.5,12.03153, ,-1.5,48.96977, ,-1.5,3.958091, ,-1.5,-1.882293, ,-1.5,1.945357, ,-1.5,35.42648, ,-1.5,-6.931276, ,2,59.03154, ,1,51.72198, , 
-1.25,53.86688, ,-1.25,49.09598, ,-1.25,13.60467, ,-1.25,50.5744, ,-1.25,36.72585, ,-1.25,34.14252, ,-1.25,-13.25838, ,-0.25,54.85549, ,-1.25,31.18414, ,-1.25,37.83878, ,-1.25,34.62642, ,-1.25,14.64277, ,-1.25,51.18043, ,-1.25,7.904734, ,-1.25,0.1617756, ,-1.25,3.586505, ,-1.25,38.07997, ,-0.5,-3.833674, ,2.25,60.35312, ,1.25,53.68758, , 
-1,57.81699, ,-1,52.6201, ,-1,16.10344, ,-1,54.64626, ,-1,39.84673, ,-1,38.62017, ,-1,-10.49615, ,0,57.63686, ,-1,34.13362, ,-1,40.1882, ,-1,37.20107, ,-1,17.27255, ,-1,52.54231, ,-1,12.1147, ,-1,1.058138, ,-0.75,9.485035, ,-1,40.40561, ,-0.25,-1.891187, ,2.5,61.58784, ,1.5,55.30668, , 
-0.75,61.43459, ,-0.75,55.93097, ,-0.75,18.77899, ,-0.75,57.72815, ,-0.75,42.89027, ,-0.75,43.57681, ,-0.75,-7.716585, ,0.25,60.26203, ,-0.75,36.4509, ,-0.75,42.82476, ,-0.75,39.87513, ,-0.75,19.92679, ,-0.75,55.91494, ,-0.75,16.50637, ,-0.75,-0.05937349, ,-0.5,12.42021, ,-0.75,42.63913, ,1,9.901011, ,2.75,62.7207, ,1.75,56.81525, , 
-0.5,66.29135, ,-0.5,59.23898, ,-0.5,21.26077, ,-0.5,60.31645, ,-0.5,46.29145, ,-0.5,48.94447, ,-0.5,-5.199233, ,0.5,62.39085, ,-0.5,38.73851, ,-0.5,45.12901, ,-0.5,42.65743, ,-0.5,22.54978, ,-0.5,58.5814, ,-0.5,18.60808, ,-0.5,4.313261, ,-0.25,15.17101, ,-0.5,41.86658, ,1.25,12.2496, ,3,63.71208, ,2,58.27737, , 
-0.25,70.9483, ,-0.25,62.60577, ,-0.25,23.98082, ,-0.25,62.0066, ,-0.25,49.9419, ,-0.25,56.05906, ,-0.25,-2.604537, ,0.75,64.22676, ,-0.25,41.3575, ,-0.25,47.63656, ,-0.25,45.25381, ,-0.25,25.11778, ,-0.25,61.17399, ,-0.25,22.3625, ,-0.25,6.786773, ,0,17.8891, ,-0.25,44.55021, ,1.5,14.55681, ,3.25,64.46396, ,2.25,59.70517, , 
0,75.16724, ,0,65.2829, ,0,26.68463, ,0,63.57505, ,0,53.15692, ,0,65.69555, ,0,2.27E-08, ,1,65.82, ,0,43.97796, ,0,49.89922, ,0,47.41745, ,0,27.69139, ,0,63.85354, ,0,26.70103, ,0,14.34847, ,0.25,20.49955, ,0,47.19854, ,1.75,17.28228, ,3.75,65.04035, ,2.5,61.09866, , 
